n,msb,noise
1,55,19090498468010496
2,55,27623394822323968
3,55,31561452375704064
4,56,37449447701980416
5,56,38337502803585536
6,56,45808746322736896
7,56,48573465214793984
8,56,51499449318931456
9,56,54373298774244864
10,56,64152944743352064
11,56,66250494245578240
12,56,61141374030980096
13,56,65573720095183872
14,56,63326082386250496
15,56,67092562535454976
16,57,79051475178470400
17,57,75512434489587712
18,57,78622561804743936
19,57,89994558727011584
20,57,94920883868261632
21,57,93148068618800384
22,57,93290042569768704
23,57,88696110187761152
24,57,97242149974092288
25,57,101205867255964928
26,57,105744269321775360
27,57,106070496478721792
28,57,111356141598581248
29,57,113043320331421184
30,57,109419205652962816
31,57,111630152175871232
32,57,119063823036500992
33,57,120219209978296832
34,57,124124984780168192
35,57,130067501922156288
36,57,129504005352365312
37,57,130603692130134272
38,57,133039017997414400
39,57,131558032282109184
40,57,139596759482774016
41,57,142495533062174976
42,57,143226855486380544
43,57,136542195229251584
44,57,130192409512799744
45,57,134972586159994368
46,57,131464352577985280
47,57,138835005912419840
48,57,143995936119699712
49,58,144690372993968896
50,58,147719840512259584
51,58,148368165871358976
52,57,143755095383463680
53,58,150243408368295936
54,58,151043097601634560
55,58,156622203987425024
56,58,166164927582087424
57,58,166147524613634048
58,58,163413487657192448
59,58,152751513383630592
60,58,156709099790317568
61,58,163573015056627712
62,58,160716195781025536
63,58,165137128221075968
64,58,161956485776129024
65,58,165179657754898432
66,58,166723664339726336
67,58,172730465076297472
68,58,173258418196200192
69,58,170829252204909824
70,58,168361149533553152
71,58,173368519543619584
72,58,167392422219177728
73,58,178277671670547200
74,58,179096431587950592
75,58,181558324236718848
76,58,191190653174224640
77,58,188164516444040192
78,58,177423119366412288
79,58,170824164760069632
80,58,167095536711422720
81,58,170880080010258688
82,58,175919089518209792
83,58,177570131049476608
84,58,178506340378779648
85,58,181151769331143424
86,58,188652176344062720
87,58,193811670259348224
88,58,194892570421763072
89,58,198853040361398272
90,58,205717573543786240
91,58,204607728609754624
92,58,203152117199644928
93,58,202843393129488128
94,58,199670184076873984
95,58,208091223037002240
96,58,221775400730223872
97,58,216439106896413952
98,58,234172293634148096
99,58,241143252638367232
100,58,231438318776477184
101,58,230819057938713088
102,58,235429500917327360
103,58,241260226140881408
104,58,229266589214246656
105,58,222506855778918656
106,58,222373634167091456
107,58,214546246185887232
108,58,212419611344092416
109,58,214910075610034432
110,58,222049537142676736
111,58,222112925015859200
112,58,221693307953100288
113,58,227348161815119360
114,58,225060326781822464
115,58,223883473514990080
116,58,226737459116352768
117,58,226169519237145088
118,58,226956931470903040
119,58,233788652474727168
120,58,245007536003634432
121,58,240517224819397120
122,58,231455714241015040
123,58,232655695772967168
124,58,236305838452257024
125,58,239392287404873216
126,58,243795718386526208
127,58,253073828685314816
128,58,255034611961637632
129,58,257795762277322496
130,58,254078403910727168
131,58,261147213979680512
132,58,258408052398393088
133,58,253253171417399808
134,58,247639666187129856
135,58,245465893360295680
136,58,245211802815544576
137,58,247680233827679488
138,58,258593449221699840
139,58,253619009320337664
140,58,251539004864509952
141,58,244064032048692736
142,58,237637603591809536
143,58,236010035684245248
144,58,239328730767295232
145,58,236809700786135296
146,58,244640072157052160
147,58,241540907648945408
148,58,240761614031889152
149,58,233314332881020416
150,58,234004791062088448
151,58,240052015649122560
152,58,230221788189987072
153,58,232223294916384768
154,58,244472217975881216
155,58,246188631428370432
156,58,245335958222805760
157,58,247483326864664832
158,58,254607149342513152
159,58,245774478272630784
160,58,247445440239254272
161,58,253227926518013952
162,58,254386930288948224
163,58,261102144446019072
164,58,253069590245902592
165,58,254568794721471232
166,58,248826407565444352
167,58,251358541308288512
168,58,253890207484803840
169,58,253671133245837056
170,58,249498768742916096
171,58,257932534937280512
172,58,256472173227713024
173,58,256998090980779520
174,58,259908766455243520
175,58,259797311128697344
176,58,264950267858611200
177,58,263919109263044864
178,58,260483009129703680
179,58,259988706129173504
180,58,257139020834049536
181,58,259679338254381568
182,58,262231342263917312
183,58,261431186410008832
184,58,266011243712127488
185,58,269954047057241600
186,58,274491733568734464
187,58,266122417925144832
188,58,270599569055763200
189,58,277870799492675328
190,59,289061829368374272
191,58,283196644780911104
192,58,286997868522192896
193,58,287349092448168960
194,59,298681271379622656
195,59,295776599471231488
196,59,305704495757729792
197,59,304389566879281152
198,59,317369813584294144
199,59,322844271635511552
200,59,323754079669130240
201,59,320156623107461888
202,59,324614788377839616
203,59,329683084388430592
204,59,321239044454093312
205,59,324614043285258240
206,59,326661780747159552
207,59,317302236548369152
208,59,315410845147665920
209,59,312291405277594624
210,59,314819268106165760
211,59,308119315059216640
212,59,311490465284781056
213,59,320325250934693120
214,59,324145209985070336
215,59,329109808654041088
216,59,339944777508410112
217,59,340749939985457152
218,59,346694530109196544
219,59,345429790332024832
220,59,350179171570918144
221,59,342683847595221248
222,59,341674457993520128
223,59,339064073727099136
224,59,340731616609113088
225,59,339937416914569216
226,59,344081786133336064
227,59,349319471697527552
228,59,348365596316199936
229,59,341920099897685760
230,59,337677183869852416
231,59,337667033994640384
232,59,335436419477361152
233,59,341522885340773376
234,59,336816888450193664
235,59,342777489727822848
236,59,344530547464044288
237,59,336592898593388032
238,59,339217084973829376
239,59,331506156939634688
240,59,330090675781701376
241,59,334099891709433856
242,59,336899634003050752
243,59,349879855426328576
244,59,341949867231063808
245,59,338483241341806336
246,59,338242374512020736
247,59,338738710943091456
248,59,336581200862931968
249,59,331800874891252224
250,59,338489780175151104
251,59,349401035424128512
252,59,344264462776763648
253,59,344947589309424384
254,59,338551932118785792
255,59,341997523293896704
256,59,349096262707529984
257,59,351010439810433024
258,59,355374096623428352
259,59,363218742712482304
260,59,368750561677115136
261,59,381417628081324800
262,59,388024335954451456
263,59,382134149450375424
264,59,379248140496216064
265,59,377027429358837248
266,59,381099525640701440
267,59,372404596541517312
268,59,381677872450626048
269,59,380590495980962560
270,59,378648292433531136
271,59,382571651817225216
272,59,377233239251544064
273,59,380926093946605056
274,59,378171398967243264
275,59,377644698940125184
276,59,381364459034392064
277,59,381954570098660864
278,59,393024845550246912
279,59,404038141023567360
280,59,410867522811443968
281,59,412333173372035328
282,59,403684863785567744
283,59,405307088060766976
284,59,409927476717614336
285,59,413060482523981824
286,59,420870754179414528
287,59,428709108136904448
288,59,430448658541013248
289,59,432535186807579392
290,59,428089409887922432
291,59,429652119176968192
292,59,435186438743273728
293,59,428709629843613184
294,59,426759366231420160
295,59,428452597251675648
296,59,436930077929202432
297,59,438240741678669824
298,59,434126549628563200
299,59,437117066616370432
300,59,438733554593942016
301,59,432694339085484032
302,59,438295854669038848
303,59,427102078362942208
304,59,427375812307467776
305,59,435770371960128256
306,59,444536274324500992
307,59,442849041773402368
308,59,445473149876210432
309,59,444734922499866624
310,59,447913277639030528
311,59,445980866859087616
312,59,461062238537099520
313,59,459507370372194048
314,59,457690234663685888
315,59,461659921086630400
316,59,456468967945647104
