n,msb,noise
1,26,51235584
2,27,80009728
3,27,92576512
4,27,124944896
5,27,112399360
6,27,131942144
7,28,171413248
8,28,201038592
9,28,215136256
10,28,204357888
11,28,214270720
12,28,225187072
13,28,231080704
14,28,236021760
15,28,253796096
16,28,231384576
17,28,249182976
18,28,228608256
19,28,225083136
20,28,200206592
21,28,229754112
22,28,198766080
23,28,198761216
24,28,216215552
25,28,228782848
26,28,209102592
27,28,240830720
28,28,235045376
29,28,230666496
30,28,255361792
31,29,277434112
32,28,230088448
33,28,241348864
34,28,258862848
35,28,261709824
36,29,286701568
37,29,326923520
38,29,341772544
39,29,305156096
40,29,280836352
41,28,264887296
42,29,286077952
43,29,313505792
44,29,324081152
45,29,328934144
46,29,325490688
47,29,304304896
48,29,310763008
49,29,324867584
50,29,344794624
51,29,342469888
52,29,329863424
53,29,343076352
54,29,301062656
55,29,294933248
56,29,331546368
57,29,317630464
58,29,299422976
59,29,313341952
60,29,325781760
61,29,322142976
62,29,336143616
63,29,320820480
64,29,335040000
65,29,317327104
66,29,326920192
67,29,330229760
68,29,336060160
69,29,336051456
70,29,349160192
71,29,358502656
72,29,364061184
73,29,367597568
74,29,375117568
75,29,366484224
76,29,380540672
77,29,398580992
78,29,400161280
79,29,384271872
80,29,413132288
81,29,432701952
82,29,441210112
83,29,454462208
84,29,447252736
85,29,445625088
86,29,481497856
87,29,461856768
88,29,459502080
89,29,449220352
90,29,463052800
91,29,461846784
92,29,478276608
93,29,492128000
94,29,493088768
95,29,491225856
96,29,492182784
97,29,481170944
98,29,497919488
99,29,514137600
100,29,530063104
101,29,495895040
102,29,515911936
103,29,529886720
104,29,504133120
105,29,522415872
106,29,522172416
107,29,535147520
108,29,504555008
109,29,500306432
110,29,516412160
111,30,539958528
112,30,560982016
113,30,610645504
114,30,603079424
115,30,579602432
116,30,578867712
117,30,567581696
118,30,581025792
119,30,588826112
120,30,589590528
121,30,635766528
122,30,628576000
123,30,613595904
124,30,621110528
125,30,604162816
126,30,606613248
127,30,627397632
128,30,618449152
129,30,639415808
130,30,640004864
131,30,627976192
132,30,609197568
133,30,612680192
134,30,579700992
135,30,588732416
136,30,597091328
137,30,589163264
138,30,576152320
139,30,554428160
140,30,563071744
141,30,561810176
142,30,563981568
143,30,584045056
144,30,611578624
145,30,580413696
146,30,547303680
147,30,564557056
148,30,545955584
149,30,563384832
150,30,589245440
151,30,589753088
152,30,576600320
153,30,592126976
154,30,565195264
155,30,587615488
156,30,600619264
157,30,620895744
158,30,612902400
159,30,670575616
160,30,656861952
161,30,639448320
162,30,647365632
163,30,620783104
164,30,624085248
165,30,643527424
166,30,622615552
167,30,575646720
168,30,594740992
169,30,569055232
170,30,569536768
171,30,574221568
172,30,578887424
173,30,572617728
174,30,555394816
175,30,555959552
176,30,547929856
177,30,563081728
178,30,574684160
179,30,580332544
180,30,560818944
181,30,558157056
182,30,587029504
183,30,621274624
184,30,627447296
185,30,660115712
186,30,726129664
187,30,720732160
188,30,726636288
189,30,731371264
190,30,697949952
191,30,703213056
192,30,718619136
193,30,698384896
194,30,677353728
195,30,704563968
196,30,689612800
197,30,659265024
