n,msb,noise
1,26,53543168
2,26,53543936
3,26,53542656
4,26,53544192
5,26,53540352
6,26,53537024
7,26,53531392
8,26,53541376
9,26,53533952
10,26,53536000
11,26,53528320
12,26,53531648
13,26,53528064
14,26,53537792
15,26,53530368
16,26,53528832
17,26,53520384
18,26,53524480
19,26,53524224
20,26,53518336
21,26,53514240
22,26,53526784
23,26,53522944
24,26,53523712
25,26,53518592
26,26,53523456
27,26,53523968
28,26,53526528
29,26,53524480
30,26,53526528
31,26,53533440
32,26,53532160
33,26,53541120
34,26,53543936
35,26,53538560
36,26,53543168
37,26,53534208
38,26,53541120
39,26,53537280
40,26,53527808
41,26,53526272
42,26,53527296
43,26,53524480
44,26,53521920
45,26,53523456
46,26,53533184
47,26,53526528
48,26,53523968
49,26,53518592
50,26,53522688
51,26,53527808
52,26,53526784
53,26,53536512
54,26,53536512
55,26,53524480
56,26,53520896
57,26,53526528
58,26,53520896
59,26,53529344
60,26,53544704
61,26,53549824
62,26,53549312
63,26,53552896
64,26,53562368
65,26,53561856
66,26,53559808
67,26,53568768
68,26,53575936
69,26,53566720
70,26,53573888
71,26,53576192
72,26,53571584
73,26,53593600
74,26,53597952
75,26,53603840
76,26,53599488
77,26,53608192
78,26,53612544
79,26,53626368
80,26,53623808
81,26,53606400
82,26,53604608
83,26,53604608
84,26,53619968
85,26,53616896
86,26,53626112
87,26,53627648
88,26,53634816
89,26,53626880
90,26,53624320
91,26,53626112
92,26,53627904
93,26,53621504
94,26,53616896
95,26,53621504
96,26,53627136
97,26,53613056
98,26,53612544
99,26,53613312
100,26,53610240
101,26,53618432
102,26,53615104
103,26,53610240
104,26,53604352
105,26,53596928
106,26,53600256
107,26,53603072
108,26,53609216
109,26,53596160
110,26,53594368
111,26,53592832
112,26,53588224
113,26,53581824
114,26,53582848
115,26,53578496
116,26,53593088
117,26,53595392
118,26,53605888
119,26,53623040
120,26,53618176
121,26,53611520
122,26,53614592
123,26,53604608
124,26,53600256
125,26,53602304
126,26,53599744
127,26,53596928
128,26,53586176
129,26,53597440
130,26,53600512
131,26,53605120
132,26,53605888
133,26,53602560
134,26,53592320
135,26,53606912
136,26,53595904
137,26,53602048
138,26,53610240
139,26,53591552
140,26,53577728
141,26,53579264
142,26,53579264
143,26,53576960
144,26,53582336
145,26,53587712
146,26,53601536
147,26,53605632
148,26,53599488
149,26,53594624
150,26,53590784
151,26,53598976
152,26,53596928
153,26,53580032
154,26,53581824
155,26,53580288
156,26,53576448
157,26,53576448
158,26,53575168
159,26,53576704
160,26,53582848
161,26,53592832
162,26,53598976
163,26,53591552
164,26,53595392
165,26,53588736
166,26,53577984
167,26,53584128
168,26,53586176
169,26,53581056
170,26,53577984
171,26,53575168
172,26,53594112
173,26,53602304
174,26,53596672
175,26,53592320
176,26,53597440
177,26,53599488
178,26,53600768
179,26,53592576
180,26,53589248
181,26,53585920
182,26,53583104
183,26,53583872
184,26,53574400
185,26,53574400
186,26,53578496
187,26,53585152
188,26,53580544
189,26,53587712
190,26,53604608
191,26,53593344
192,26,53594880
193,26,53615360
194,26,53611264
195,26,53617408
196,26,53622528
197,26,53633792
198,26,53636096
199,26,53628672
200,26,53631744
201,26,53632512
202,26,53645312
203,26,53653248
204,26,53648128
205,26,53645056
206,26,53649408
207,26,53647104
208,26,53658112
209,26,53652480
210,26,53655296
211,26,53659904
212,26,53656064
213,26,53647360
214,26,53645312
215,26,53648896
216,26,53658368
217,26,53664000
218,26,53665024
219,26,53670656
220,26,53659904
221,26,53674752
222,26,53660160
223,26,53650432
224,26,53650688
225,26,53646592
226,26,53641472
227,26,53647872
228,26,53643264
229,26,53648640
230,26,53636608
231,26,53645824
232,26,53648384
233,26,53642752
234,26,53635328
235,26,53635840
236,26,53638656
237,26,53623296
238,26,53618944
239,26,53618432
240,26,53622272
241,26,53623296
242,26,53624320
243,26,53628672
244,26,53623040
245,26,53619200
246,26,53618432
247,26,53622528
248,26,53609472
249,26,53607680
250,26,53616128
