n,msb,noise
1,75,26598687878454010912000
2,75,37139737528160015042304
3,76,47780377025209342685184
4,76,55589300572358510480896
5,76,66940336700680071454208
6,76,70986218726001824102144
7,77,86146462621848453854976
8,77,94108242246215164477696
9,77,97360185204701407628544
10,77,106013563695669704915712
11,77,108477680169910732090624
12,77,120333667445603375227648
13,77,129958344854081868827648
14,77,138114408492317124761088
15,77,147135132394696586040064
16,77,148668001067543475371264
17,78,159818726046298676528128
18,78,161926943183974018712576
19,78,162952140469112167560448
20,78,174464555262159389139200
21,78,182404356518634316464128
22,78,193301136218412008173312
23,78,191935606867488441231872
24,78,193281681807024544760576
25,78,200831680825434618414848
26,78,218414243469099933651456
27,78,226910849308767997457664
28,78,231814432316310690988800
29,78,233380038760554062374400
30,78,236941079967494910049280
31,78,236508463250258767360512
32,78,242212020600598994301952
33,78,245337807570241338142464
34,78,251872419150029467939840
35,78,257470728447703360023552
36,78,273669303747684329235968
37,78,269985616570555492385536
38,78,277373720985790588238080
39,78,278369988626101741765632
40,78,288474248811775052604672
41,78,297082795752944578402560
42,79,308521028673678591835136
43,79,311406781244821929884160
44,79,320556553314402542345472
45,79,323940909106152067812864
46,79,324843809089962400626944
47,79,329484706156045840709632
48,79,333557412849210542746624
49,79,343483543300883580406784
50,79,352862415143923948718592
51,79,360286628180183677258496
52,79,368386675951190696525056
53,79,372700650765182391480064
54,79,366427389772379714223360
55,79,367210639252207398474752
56,79,373452672510707681915648
57,79,376061371582379259962880
58,79,385938735207296298148608
59,79,390948624895634741180160
60,79,397271645604511677980928
61,79,410474668657111193042432
62,79,424635154222973003735040
63,79,429541160527660934450176
64,79,426437868848551905577216
65,79,414812282678788229004800
66,79,424593604826443401272064
67,79,428186926859240260621568
68,79,435770864821427308195840
69,79,444200151862415032838912
70,79,450172617065902066846464
71,79,449496946874311378721024
72,79,458107291915561930781440
73,79,459905996802091306397696
74,79,458805574724437067645952
75,79,465363546425375233867264
76,79,468900081495057742909696
77,79,481500197990097555432960
78,79,488021297657964950678016
79,79,490178879677392444200960
80,79,502113279589657797103872
81,79,511846811406177490512896
82,79,509229560572896444508672
83,79,514048836485280253896704
84,79,519417005718368594083328
85,79,523358666977997305159424
86,79,527322912508447559895552
87,79,536671270127133588115456
88,79,539842642546315642163968
89,79,541113659128047848467456
90,79,546002910795882076435200
91,79,558071329315679406671360
92,79,564164640615608188089088
93,79,578712630286607279606016
94,79,576451327472072559824640
95,79,578265158707498374880768
96,79,579453362537417144210432
97,79,583102337985372880766976
98,79,598859223477312324960512
99,80,604618018295630443546880
100,80,613371283879896808659200
101,80,618294383843445059899392
102,80,631748216076827378221824
103,80,649080214909947497868544
104,80,658853492058589258370304
105,80,661829394032479418254336
106,80,664757994766926325897728
107,80,671937080182250862245120
108,80,674447256188317165083648
109,80,676815417002602393925120
110,80,670509999248929329086720
111,80,673680610321303163553536
112,80,678458171113558397311488
113,80,671652480118761415492352
114,80,683264337651362459082752
115,80,691378729531433936701696
116,80,705014633274316967433984
117,80,715274978162302285137920
118,80,712085737556306379899648
119,80,719845840407015087602176
120,80,718475426822948487102208
121,80,725182368453681501594880
122,80,729703131108667346562304
123,80,743356681685772733627648
124,80,759456245329029184950784
125,80,771025651188949629966336
126,80,778081566820166412022528
127,80,775798912304898700132608
128,80,773994322569537925470464
129,80,780076714106513507238400
130,80,785756822400461868294144
131,80,793960778600481642200320
132,80,801603798291077149079296
133,80,812308590868850765024512
134,80,813779583296719195037952
135,80,813324166271730677826560
136,80,812667770285962221639680
137,80,821995535153504453769216
138,80,821892213145587231984640
139,80,836097869561419876262912
140,80,851364213474007403219200
141,80,854982311164050392866816
142,80,863482661901470897568768
143,80,863993929789357731608064
144,80,866469243921782036688640
145,80,863747578971361944198144
146,80,872385506473134029267456
147,80,884000272966924494324992
148,80,893520897424966529879552
149,80,911366697280394075462144
150,80,919384746547353391295744
151,80,916112557124550441437440
152,80,930256709967892288422400
153,80,935435188481146734600192
154,80,936653111829222552538368
155,80,939857783882854139760896
156,80,945458292837595488246784
157,80,940153825503118094123264
158,80,932920092495646598035456
159,80,935380765187388356269312
160,80,943484702161227627510016
161,80,950414097256914457052672
162,80,947738789870385426427648
163,80,942797795710956564836096
164,80,949387656003512344507392
165,80,952725353092237063055104
166,80,952057608281686500644608
167,80,959361603045506381537536
168,80,960546837341328641861888
169,80,954384209458790032250624
170,80,966276930589408109452288
171,80,969482860577701097185280
172,80,963570335115651688223232
173,80,982170425050459476307968
174,80,985097355980239967853056
175,80,990706192251543937069824
176,80,990810045480484401344512
177,80,997741165199269619005696
178,80,1004445143377699198911232
179,80,999264869006793594311936
180,80,1001195807568782992759040
181,80,1011948841576566039954432
182,80,1017507669173781239375104
183,80,1015956567292539509840128
184,80,1019491916235674997514496
185,80,1028759092268121994027008
186,80,1031447566409589442470400
187,80,1040465874726620786923520
188,80,1048703063651943115105280
189,80,1056180508531186722896640
190,80,1055826097043452156814080
191,80,1064567971104331276476928
192,80,1066762014991567755150592
193,80,1072834377884607345801728
194,80,1082548350884688999031552
195,80,1085831633835456325182208
196,80,1100398634252656477107200
197,80,1098696255595084319337472
198,80,1104357831247956235494400
199,80,1107098245596877592075264
200,80,1116456666833974673162752
201,80,1120602103685545797840640
202,80,1128876164971369478959872
203,80,1134827111405024011690496
204,80,1138387494490024495849472
205,80,1144114983227985895928320
206,80,1141923701168593100525824
207,80,1153576163539000916185856
208,80,1158559819365622663403776
209,80,1162032034242408179968512
210,80,1158008722527311018688000
211,80,1165528905248317047938816
212,80,1170329937811840284169216
213,80,1178487057009309744099584
214,80,1181044492758191496414464
215,80,1187507166415911416959232
216,80,1197999582091019561321984
217,80,1192220239816000670280192
218,80,1202392495948736199886080
219,80,1202174023705104289796864
220,80,1208147804600673147271168
221,81,1223196030036599827099136
222,81,1221484637807250505026560
223,81,1228181450010497703840000
224,81,1236492895629332222252800
225,81,1253590239627935665353984
226,81,1267049752362950130194944
227,81,1273834924117149768221952
228,81,1275207571480782268804608
229,81,1285018883064783786873600
230,81,1283133752854286367158016
231,81,1288880833716720206049024
232,81,1290014636998838798421504
233,81,1302048216696700469396224
234,81,1308149760159586484611072
235,81,1302610047957502358087424
236,81,1314228122963364186124800
237,81,1314791728528994028298240
238,81,1314735324824083298910720
239,81,1324404295477873628674560
240,81,1334732123725712689384704
241,81,1342283365163766894790656
242,81,1343550291999336583460864
243,81,1344455733423328944777472
244,81,1344969277536062068971520
245,81,1355314347026967769035008
246,81,1358750201078876016075776
247,81,1367212301349029799952896
248,81,1368272345602150707411200
249,81,1368180520252420855982080
250,81,1378878072730171768272128
251,81,1381080288628443719969792
252,81,1386789822257643953239808
253,81,1394253924136432859240192
254,81,1398496284922710588552960
255,81,1399317482701559262745344
256,81,1407588166917404707949568
257,81,1401653019348329946949632
258,81,1401786435059585152235008
259,81,1406898289557033406195456
260,81,1420813605714335155061248
261,81,1427501149907797155837696
262,81,1434210439839399961727488
263,81,1433737806002089173430272
264,81,1447414884998325807022080
265,81,1454311648258956978527744
266,81,1456032660046012794124544
267,81,1453130541949805845491456
268,81,1470325382153718553597184
269,81,1467113558121213394195968
270,81,1470682585396954889425152
271,81,1477322480229338556587776
272,81,1476360854869188337601024
