n,msb,noise
1,93,9318838278325807255659222784
2,94,17462739477258760297765837056
3,95,24907423245717601286209429504
4,95,32782923854061317040080218880
5,96,40593320737719843316793668096
6,96,47627307733611803022793540608
7,96,56260799338576443054527612416
8,96,63603864369609278758554594816
9,96,71786137824062677748594795520
10,97,79941256025249608550412120576
11,97,87683740666144843543602592768
12,97,95405675881275944573379715584
13,97,103585306836152912669741975808
14,97,111710376935653326696331033088
15,97,120030012414136331121835394816
16,97,127983181248419418130933882368
17,97,135821353107883969729253705984
18,97,143188536338834701626572123392
19,97,151421036033094305749389570816
20,98,159513735553178865942609062912
21,98,168054190991900538661517122048
22,98,176964532178957478034537789696
23,98,186496145458107002865193271296
24,98,193288817641136832098857674496
25,98,200650261743461223196173941760
26,98,208307782314956849497165797376
27,98,216510956038666587196407228416
28,98,225572282593607284331907290368
29,98,233421456374538345206123110912
30,98,240803046963898498848048325632
31,98,249533178065343957350462625792
32,98,257202577584379239830688414464
33,98,264772139128502217007173324544
34,98,272790849072667310444843242240
35,98,280456562811856566997342509056
36,98,288363852429506465618996476928
37,98,296103017231442543849688816896
38,98,304424810199148663461139318016
39,98,312885204323638482532258939648
40,99,321090757873338618526713256192
41,99,328906912769423741295440211200
42,99,336284745290821464837633029120
43,99,343608947577073806169266430208
44,99,351442405625926836419256354048
45,99,359933709742485337716811084288
46,99,367531938092213605375320724736
47,99,375621966396104987253772697856
48,99,383855686743008664513674644992
49,99,391540838957912567220395887360
50,99,399099614688054702346820368896
51,99,406546943553115453030928006400
52,99,414032941880302276459916562944
53,99,422102250383163536424765259264
54,99,430189489352992404734945300992
55,99,438012447398445112808846380032
56,99,445182547284368880408418202368
57,99,453698617582837232611010319360
58,99,461357342412019413027826029824
59,99,469764609905985966893550150400
60,99,477251552957806449715068399360
61,99,486553513742926469270255448064
62,99,494476036675707204735643232768
63,99,502250313970792963899544199936
64,99,510646860959086854287285650688
65,99,518085640184770299408972513024
66,99,525981721560368411412025677056
67,99,533735504364198006892219563008
68,99,541005557741723707762344561664
69,99,548467531200384001600288034560
70,99,556009376595951047641678686976
71,99,563791371556549019125997950208
72,99,572344015402187528532568843264
73,99,580206176626151696031935538944
74,99,587599731136101968048729528320
75,99,595937373611189947068648696832
76,99,603918378364736881552207327232
77,99,612913351578720789203039550720
78,99,620251905964218158812274657024
79,99,627958092588072001110696563968
80,100,635910379470243750167846892544
81,100,643205239131996850296039972352
82,100,649655840639305390891162242560
83,100,656792003198613288191655576832
84,100,664516366557779512375770837504
85,100,672030603195550272964225438464
86,100,679415110498996876690755736064
87,100,687628251345966482845662159616
88,100,695600227108189414716762382848
89,100,703524607719493395638154341888
90,100,711409728269565587633051440128
91,100,718460761271295007481450253056
92,100,726172306954831521458844877056
93,100,733814751975956388773487444480
94,100,742649113472529160160790739712
95,100,750181824421701762144635027200
96,100,758016587944181533183797230848
97,100,766013901362901965030262001664
98,100,774705890318973581792060316672
99,100,782124060736618706001313944576
100,100,790955969544377422506363681792
101,100,798896876984612363409283706368
102,100,807285427186457171924454525440
103,100,815377002719464961590562177280
104,100,822708726066918664342197525760
105,100,830436887525671544679393612800
106,100,837176600486754915196054434304
107,100,844376803750134488315749619968
108,100,851095324446392075939002455296
109,100,859803406331988415523482798848
110,100,867769124319369883066126299648
111,100,877084556448633215089856770816
112,100,884463584323064454313896647936
113,100,891981760042424184338189312000
114,100,899366034504057524529627087872
115,100,907437006750644164022419180544
116,100,915895870492773038151026463232
117,100,923551973307989499898960046336
118,100,931159432750635821901754845440
119,100,938324377830062739071593516800
120,100,945603102487866564097832098560
121,100,952501214382324553688402917632
122,100,961155319090198552797101651968
123,100,969048357245129318769845412096
124,100,976897500951130734982827064832
125,100,984507542321477160275712231936
126,100,992505102932983354987878976000
127,100,1000777510256892602368456356864
128,100,1009056134276566903662536303616
129,100,1016400088628212821704446542080
130,100,1024426242633285852326684132608
131,100,1032337643640018380922323354880
132,100,1041368160468094594908707461120
133,100,1048692727142965832455874594560
134,100,1055071988177789292986357980672
135,100,1062843176138054104231834065408
136,100,1070819298647609195565082237440
137,100,1078039041051903612672891897088
138,100,1087127834793705609736126082816
139,100,1095082169873982074670324250880
140,100,1102531444004721187220459507712
141,100,1110978060889603504607629375488
142,100,1118645454070417893120325365760
143,100,1126443395838066660719876264704
144,100,1134630740837995549086852400384
145,100,1141924385833899572648168400128
146,100,1149289682861387434016743854848
147,100,1157267933973029635663387196672
148,100,1164973290114414275353648243712
149,100,1172842302933757242995713570048
150,100,1179942061195956927017752540160
151,100,1188616912029621692180912324096
152,100,1196206072590199382807228385024
153,100,1204312376230572906434652840960
154,100,1212526505357446322906406387712
155,100,1219916155816729993026387002112
156,100,1227724496649634421843730610176
157,100,1235100845278909640225170449664
158,100,1243424920206927319050614926336
159,100,1252055191935134641996359111424
160,100,1259260611187097905697162948864
161,100,1266525008594775566533642613760
162,101,1274156481162720334890073676800
163,101,1282534487475425099180698772736
164,101,1289568733637879261469659612928
165,101,1296928408341535781868920787200
166,101,1304679241281149412699844326656
167,101,1312572968322022227453832552192
168,101,1320217102874555557129158062592
169,101,1328949565296500237161665667072
170,101,1336991485487640450906604885760
171,101,1345096970355951152202432329472
172,101,1352940469009282649340862782464
173,101,1361886992944973682092655497472
174,101,1370120984146264000691825459712
175,101,1377574927376917691025131379712
176,101,1384004717090883834653276559360
177,101,1391761711178392044992591042304
178,101,1399684173781287010365681144832
179,101,1407940032125531218078420331776
180,101,1415438775429745264007124710912
181,101,1424406794123975151872274727168
182,101,1432294800288408355351564161536
183,101,1441359716262963281537972060672
184,101,1449786512027561913137894213376
185,101,1457820476134788241678844493312
186,101,1466469054856535803532071337984
187,101,1474424121436456365323146257152
188,101,1482017851491540113276112218624
189,101,1490449105982624739102737482240
190,101,1498849077027399214525878939648
191,101,1506880531268711548947454302208
192,101,1514036206487642238219724046336
193,101,1522561960625163339318345987584
194,101,1530217403985295749368508751872
195,101,1538179133706241970431329697792
196,101,1545342516629421396543452939776
197,101,1554327230174946819867034753536
198,101,1563018733717680334754703683840
199,101,1571378038745213486335808949248
200,101,1578367711691065743719026299648
201,101,1585847792654947846466057606912
202,101,1593649558691334025682981643008
203,101,1600344981069221950826804731904
204,101,1608353288070511538587389794304
205,101,1615616001012679290516348421120
206,101,1623425837408420010790238926848
207,101,1631547547631746326164240847104
208,101,1639062693874758191870088906752
209,101,1647006459426868239796872318464
210,101,1655267260388620110326106269696
211,101,1663998260119759128530062754560
212,101,1671303678243754245142506735616
213,101,1679787654572725404137163097856
214,101,1688420974706572408362926177792
215,101,1696368466066834709030765235200
216,101,1703751574092377456298786590208
217,101,1712212804441127416063664658944
218,101,1719635677430674677756660737792
219,101,1727275682581996633600530459136
220,101,1735821484632880790008208345856
221,101,1744271981331495479933921858816
222,101,1751894867417777638309131449088
223,101,1760355057306877332701147215872
224,101,1768450385877310282279360837888
225,101,1775618384524093001610324876800
226,101,1783545049470401809746692787200
227,101,1791818959503489601237644496128
228,101,1800192748157388057333149754624
229,101,1808391755048509327378928154112
230,101,1815758161398731356510617789696
231,101,1823958307848620754832296120064
232,101,1831547286841794910208897652736
233,101,1839095452478057414237077888256
234,101,1845807381762577222648774672384
235,101,1853624297724245597763099880192
236,101,1861506127073388464253504409600
237,101,1869313294208809000472585556480
238,101,1876661961853116815492037526784
239,101,1884075269528089867140199815936
240,101,1893257162357706525263013515520
241,101,1900798519302341170292512880384
242,101,1908453891393291096227892810752
243,101,1916236928709452509893071396608
244,101,1924578988416267074476973576192
245,101,1932762055865479629063537922560
246,101,1941387628912090179953079843072
247,101,1950149741619317351031449606400
248,101,1957391994529018993621071394304
249,101,1964457561237336083477497902080
250,101,1972730067736042017618832476928
251,101,1980606453339726959325105897216
252,101,1988782852901550145522207754496
253,101,1996958383659438357058784628736
254,101,2005063677038167742317743222016
255,101,2012530627955518709072101786368
256,101,2020857205354279257299940872448
257,101,2028271641584914426554793528064
258,101,2036922233975127898415033156096
259,101,2044569968560220345323948436992
260,101,2052450506794629739827501140224
261,101,2060055355299047092184998250240
262,101,2068357375778101706858479442176
263,101,2075016402060309706838836104448
264,101,2082928066393161841040911204864
265,101,2090535277150170396534538592000
266,101,2098480657186821651195883182848
267,101,2106214503642931817313385202432
268,101,2113922637546907924598483194112
269,101,2121370731795839382558132135424
270,101,2129792111774253033277654249216
271,101,2137274165895572828963379259904
272,101,2145076303004448328061350663680
273,101,2153273868444398082817195565312
274,101,2160720448019789068469621640960
275,101,2168604869954702638663500382976
276,101,2175177695364433874002643214848
277,101,2183336595219515991776181827584
278,101,2190992490929541647256527692288
279,101,2197915372720821336061574722048
280,101,2205867752483132512440667313920
281,101,2213909238676361316785884293888
282,101,2222374397528575359712797918464
283,101,2229995623649868454220586246144
284,101,2237509129800442001341711241472
285,101,2245606247895763135338602258176
286,101,2253640746164149414364555682816
287,101,2260830461342725644264226302208
288,101,2269041248082531983884126224128
289,101,2277110123088155832443970187776
290,101,2285408661887620358970991579136
291,101,2293901002401678639841253550080
292,101,2302071559502638504768300795392
293,101,2309447442291719421154745911040
294,101,2317900339523183617159822918144
295,101,2324420521482060514113684915968
296,101,2331589732741704790526641911808
297,101,2339560976844845285498587724032
298,101,2347553293810861974901128169216
299,101,2356102890411065844198839200768
300,101,2364054160677428349544491680512
301,101,2371033693448720225542859678976
302,101,2379460007785600970420879902976
303,101,2387617281125412074612387933952
304,101,2395516574059625155488946036736
305,101,2402409284981274212265279062784
306,101,2410004521736843785418537380864
307,101,2417871249609971610876441059584
308,101,2425266179288189036230292195072
309,101,2433187635950464189700525729792
310,101,2441424224523790295686486136320
311,101,2449168774095245165631340220672
312,101,2457633220201321084582098506240
313,101,2465936513416321416458813466880
314,101,2474126288018664767129124743168
315,101,2482127666698408117702783710464
316,101,2488912915246738784437587457792
317,101,2496761963611455510229799315968
318,101,2504329263164829367837611462400
319,101,2512284817679523671978248839680
320,101,2520915814908142535235116835584
321,101,2528606467958744248444314699264
322,102,2535751376711755433241085523200
323,102,2544769067604063115800906172672
324,102,2553643725138149537634847673856
325,102,2562416785540566538991233697280
326,102,2570290626546108203084596898304
327,102,2578198448717780367786307691008
328,102,2586042383179230467518770486784
329,102,2594294966438409248981681911808
330,102,2601468936099627361688766835200
331,102,2608430184663585353415720811264
332,102,2616611012406075265570027111936
333,102,2623499692929801259452452772864
334,102,2631130843394820348920605267200
335,102,2638943868916685692628087384832
336,102,2647572216853919898649255443456
337,102,2655347770309487653570991583232
338,102,2663983560939627310200175187968
339,102,2672250126843432323261872246784
340,102,2680028817341672252581936211456
341,102,2689209751601411387563993582848
342,102,2697140432638486039032227665152
343,102,2704365619097936027163909562112
344,102,2711649266098250256379576920832
345,102,2719735581170287834421132641024
346,102,2727202677492151539390185227520
347,102,2734248230643957012326322994688
348,102,2741360406281637593396563742464
349,102,2748778048123228930958967394048
350,102,2756480389621581321103381916160
351,102,2763053996045699611006974366464
352,102,2771111702547821596056208169984
353,102,2779797283115260125347799684096
354,102,2787897832885022950641519634176
355,102,2795948100902575502440085693696
356,102,2804551000519098904135041938944
357,102,2813383235781824334146376524800
358,102,2820709878040826581749111089920
359,102,2828587753064433062938645737472
360,102,2836442586988976865522801176832
361,102,2844836866069503252741904986624
362,102,2851953020345372654973441701376
363,102,2860450404672610263850758820608
364,102,2868443669202021125409515193344
365,102,2875939586084490296925858713600
366,102,2884317861033817989443845372416
367,102,2891702052176034807632055273216
368,102,2898910104695265443937477129728
369,102,2906036958998927570879959418880
370,102,2913613224523345756765759608832
371,102,2921154086596167921808657112832
372,102,2929453947022651803197569435904
