n,msb,noise
1,46,61413380240092
2,47,85752670489465
3,47,99942492557791
4,47,121258953039498
5,47,137593375913768
6,48,150307622465470
7,48,162435969941134
8,48,160635045753023
9,48,173644628241525
10,48,178312359506605
11,48,195036917522638
12,48,193431096524768
13,48,203950004835866
14,48,204944779162206
15,48,220518203366559
16,48,225816133311753
17,48,251220287939467
18,48,273569981038780
19,49,285896984399918
20,49,305709932318178
21,49,315201919617992
22,49,308355407248914
23,49,330581606226573
24,49,331554494864985
25,49,325567096739598
26,49,360071006734585
27,49,375862146032604
28,49,372991797991525
29,49,362539950153529
30,49,355937980186919
31,49,350218578452338
32,49,330308610476796
33,49,340972800947346
34,49,324732673560657
35,49,335542166048370
36,49,327110480572031
37,49,334546594529962
38,49,338738991111465
39,49,360174112557687
40,49,359743353847715
41,49,377676442848954
42,49,373025954171963
43,49,375547303663124
44,49,384612504778221
45,49,390893032799451
46,49,427144771330018
47,49,425419548144163
48,49,431766881371880
49,49,431496952032796
50,49,439944728153375
51,49,437258812306049
52,49,450821976723908
53,49,424175165339718
54,49,451399523568055
55,49,434868269227317
56,49,431456471073099
57,49,419616648273825
58,49,421832340995889
59,49,448717110018009
60,49,442904350958002
61,49,448432101336132
62,49,455233169300818
63,49,463353891346096
64,49,471261553128670
65,49,466566320179058
66,49,466009755595294
67,49,477385443722143
68,49,468992434185447
69,49,479210175208559
70,49,464349005023022
71,49,466921493428505
72,49,479696667894071
73,49,505300138037164
74,49,502041505750276
75,49,509365561793053
76,49,503332097775903
77,49,501818399779601
78,49,494829786941347
79,49,495579139227605
80,49,492968731113922
81,49,519542974688752
82,49,511142127909911
83,49,530130206567553
84,49,546749362868300
85,49,531000531177242
86,50,572759761222962
87,50,586351613938275
88,50,578100146888737
89,50,570095460461291
90,50,565118601784205
91,50,579319323179927
92,49,561796245447348
93,50,564025311518558
94,50,576072119890469
95,50,573270229112573
96,50,565152923183420
97,50,573952181575143
98,50,585920617853289
99,50,603651679221478
100,50,581250206321520
101,50,598077205615475
102,50,574911185675809
103,50,578822218284616
104,50,574195671584465
105,50,568251138654835
106,50,584718350435784
107,50,607526972013779
108,50,600266573566453
109,50,611135244588889
110,50,615245611653268
111,50,629316544229560
112,50,651612774341457
113,50,656710295417501
114,50,655185770053429
115,50,645114649586383
116,50,643389271798745
117,50,626248729144187
118,50,635477403065067
119,50,668820306820231
120,50,674477168430748
121,50,665065254958441
122,50,650335162639587
123,50,650984970776545
124,50,669375031780405
125,50,685919024285685
126,50,708907668531462
127,50,723985396492782
128,50,734976243425654
129,50,718065211017411
130,50,722743568582745
131,50,712833266279760
132,50,718659508332314
133,50,732875708977603
134,50,722024186235513
135,50,718655133475416
136,50,738672204637838
137,50,750475619536428
138,50,733693567155498
139,50,746561988713256
140,50,761546403324477
141,50,784275900968243
142,50,771707299716510
143,50,775149113554580
144,50,792990505872436
145,50,763645727304138
146,50,757029346930894
147,50,754771598853782
148,50,756534155912594
149,50,750497459020771
150,50,747060676196043
151,50,759784624779688
152,50,755333756823885
153,50,757609883245296
154,50,754039079221678
155,50,740621769560040
156,50,724851845506439
157,50,748265230330552
158,50,754370749461111
159,50,756669901783176
160,50,749366408498445
161,50,747861140526453
162,50,754368694417402
163,50,784680974744860
164,50,769142533076978
165,50,800720181221818
166,50,810519513589386
167,50,784126721126790
168,50,789110646789660
169,50,809919790400716
170,50,829914432442406
171,50,840892705380921
172,50,830556591035187
173,50,825551872841549
174,50,818191953903780
175,50,840017735246524
176,50,826837103154132
177,50,837060106274048
178,50,856969114067003
179,50,840712941715363
180,50,842263650028453
181,50,828405746650327
182,50,828326702343553
183,50,809638008236423
184,50,796868097047327
185,50,792005839972976
186,50,805385880577750
187,50,787815563906645
188,50,780292495457114
189,50,787343301925313
190,50,810883765941591
191,50,818505704164692
192,50,836419872765105
193,50,808165262869607
194,50,813185818341443
195,50,837627811492442
196,50,826803922033180
197,50,816522612872622
198,50,836032964272000
199,50,828714075952747
200,50,837901099012943
201,50,849384843890022
202,50,833647652880904
203,50,808340317439567
204,50,805491287798144
205,50,806217150312862
206,50,839904251049639
207,50,824887716885792
208,50,831370130193708
209,50,815626156105090
210,50,807350466776963
211,50,796865147358031
212,50,810888171797490
213,50,825603338785501
214,50,807721773335237
215,50,878734068553937
216,50,881527187335457
