n,msb,noise
1,65,36252013315183205703
2,66,55773819582251662191
3,66,58459582252957414453
4,66,73743687571456947796
5,67,78701772403145226824
6,67,88202807251036589171
7,67,87454470632181120757
8,67,105726660493486669894
9,67,105803532588190429321
10,67,106011533083074991814
11,67,108214263967464138002
12,67,108369066690891639583
13,67,114216288368135368245
14,67,116007659937366558944
15,67,122754873669949257113
16,67,131897303501887068561
17,67,137201310689464185444
18,67,145456833137723422409
19,68,147678364577688350467
20,68,148705742288649403052
21,68,155983033517438097629
22,68,160721744828687647219
23,68,165959507888998033497
24,68,161655924425674852956
25,68,168815572092148892989
26,68,177773871718600936883
27,68,180730710341044670102
28,68,185393956397339635564
29,68,191024669320416725556
30,68,192951371585885616295
31,68,200185782058710084383
32,68,204395065215986555214
33,68,199992574659656187126
34,68,195009317254698710832
35,68,204376258773149186200
36,68,198309289372772062280
37,68,205951614570272259860
38,68,204182585771608894229
39,68,206213500590514914040
40,68,198197505728805154564
41,68,205138838094560790303
42,68,201082691338272611688
43,68,208090935985980238575
44,68,212804050266925398382
45,68,207870852261921008503
46,68,207493290892334420268
47,68,212775732255638177945
48,68,218222475214890918257
49,68,224445231063017977836
50,68,229809861875847946474
51,68,229284617210083920341
52,68,241728447061057196510
53,68,245364667257632876370
54,68,251413681540045875537
55,68,254771523948500165554
56,68,243277562153793059357
57,68,255931942236940243674
58,68,255211041946696817000
59,68,258288124925266739073
60,68,258422791573430448553
61,68,261410444575300125982
62,68,264733776930687466366
63,68,256787422369534721990
64,68,267887788334343966484
65,68,274091134231209273465
66,68,270872627515631368546
67,68,272062408769672889782
68,68,282301210231073361061
69,68,286923310274559718812
70,68,286674712196592919485
71,68,278197582256367627496
72,68,292600363176392999867
73,69,301945190963736335834
74,68,294846378791575438983
75,69,300972478671026411878
76,69,305676273009765703602
77,68,294386740921667755313
78,69,302116101083246348362
79,69,315155512395824691247
80,69,322463552802276617303
81,69,323482093901389420159
82,69,316535888442267555667
83,69,305632553930590443830
84,69,309270870731977512156
85,69,309463937678385894583
86,69,313066916533915233691
87,69,308223157037943767342
88,69,308197736865391996227
89,69,325589287641893673441
90,69,323056405069236494592
91,69,323803514025205711050
92,69,331077684680917740378
93,69,322406223743357200338
94,69,323872927453248538558
95,69,324904302763690756273
96,69,340559463081407667172
97,69,351162379875530446617
98,69,359905425462597291765
99,69,347516149155043039296
100,69,345551377100216883771
101,69,350079573310197489606
102,69,344782604143135563452
103,69,354815857332699428061
104,69,359533053785530054617
105,69,342903256890255819653
106,69,339864125629321617755
107,69,354703909383156663692
108,69,353033925284282254874
109,69,356946307369241147698
110,69,350852576087910084741
111,69,351361122746070695542
112,69,363821892153249963675
113,69,355716404783333421222
114,69,364494548925321419072
115,69,363613978808657111881
116,69,364260250644962971339
117,69,370358995673536481009
118,69,379390023495054632595
119,69,370934511947285536050
120,69,370850751550991742037
121,69,378512635946225498986
122,69,373399205875894301726
123,69,384663532039397399863
124,69,396442565802808916315
125,69,398744167616914078406
126,69,396271236570143744348
127,69,404537150038253081175
128,69,409080914169261546474
129,69,413545093646736737992
130,69,416304022005351302737
131,69,421163038437404622431
132,69,416642587572683992440
133,69,408238797005469505086
134,69,414872890858122833690
135,69,408733476785354110479
136,69,420620765076878438470
