n,msb,noise
1,36,35405341696
2,36,50010435072
3,36,59026236416
4,37,69895290880
5,37,76725463552
6,37,85968419584
7,37,86512744960
8,37,95054547456
9,37,103255421440
10,37,115508854016
11,37,115063732224
12,37,124598190592
13,37,127349324288
14,37,133668781568
15,37,132242730240
16,38,138731810304
17,38,141801591808
18,38,156350187008
19,38,154755268864
20,38,159601021696
21,38,171480603648
22,38,179395061760
23,38,191337047808
24,38,189905778688
25,38,206413900288
26,38,193624786688
27,38,198498049024
28,38,196251512320
29,38,203325109248
30,38,206601541376
31,38,223763622400
32,38,233331870464
33,38,245234727424
34,38,249080873216
35,38,235863253248
36,38,230002434816
37,38,248113281792
38,38,257734715136
39,38,261321609728
40,38,268127043328
41,38,264029194752
42,38,262148769280
43,38,269129114624
44,38,272125676544
45,39,290007894784
46,39,288518863104
47,39,298524647936
48,39,299947774976
49,39,310759809792
50,39,318225692160
51,39,306707017216
52,39,318586764032
53,39,341022106368
54,39,347361245952
55,39,351543430912
56,39,345607727872
57,39,332933066240
58,39,337933860864
59,39,331868474112
60,39,328530750464
61,39,324573238272
62,39,317614551040
63,39,324996642304
64,39,329005277440
65,39,327038003968
66,39,334155127296
67,39,334261455616
68,39,343180439808
69,39,349615455232
70,39,349660925440
71,39,353622454016
72,39,349421931520
73,39,351434732032
74,39,360169289728
75,39,364990989056
76,39,362690128128
77,39,371980470016
78,39,365007305472
79,39,385657053184
80,39,391880254720
81,39,379562328320
82,39,354508581888
83,39,361845414656
84,39,364432104192
85,39,376534275328
86,39,385547559936
87,39,380336615168
88,39,377883866112
89,39,361595876608
90,39,380585076736
91,39,370945906688
92,39,364551737856
93,39,382687569152
94,39,385221619456
95,39,397375210752
96,39,409585050880
97,39,418203110144
98,39,415322014976
99,39,405324097280
100,39,384521270528
101,39,388486199040
102,39,382285039616
103,39,368929774336
104,39,362429177856
105,39,348608851200
106,39,343461049088
107,39,338347685632
108,39,336360746240
109,39,334707510528
110,39,342047192064
111,39,336068805120
112,39,341225555968
113,39,342986533120
114,39,353890217984
115,39,347687919872
116,39,359693437184
117,39,358657662976
118,39,360298252288
119,39,354580625408
120,39,357369760768
121,39,365359827968
122,39,372620010752
123,39,366393216000
124,39,356343342848
125,39,361002614784
126,39,380682315264
127,39,383871160320
128,39,376210455808
129,39,375732469248
130,39,392546552064
131,39,384130299648
132,39,367952840704
133,39,382075463680
134,39,386495436032
135,39,397396984064
136,39,392970552576
137,39,405999278336
138,39,402133395200
139,39,405178030080
140,39,399082719488
141,39,388933853440
142,39,381248459776
143,39,378873277184
144,39,390154808576
145,39,401898672896
146,39,399288335104
147,39,417328688640
148,39,419609941760
149,39,421857223936
150,39,429297050112
151,39,424316140288
152,39,424201204992
153,39,436741151232
154,39,443452589824
155,39,443075818240
156,39,450709926656
157,39,439868779776
158,39,454717003520
159,39,445459251712
160,39,450383288832
161,39,465500786176
162,39,464292363264
163,39,471680905728
164,39,471905435648
165,39,468079519232
166,39,465010790400
167,39,480914633984
168,39,477857955328
169,39,487863077376
170,39,504270727680
171,39,516039128320
172,39,546124290304
173,39,539793543424
174,39,543983708160
175,39,536843400448
176,39,522474204928
177,39,529031292160
178,39,522251518976
179,39,512926772480
180,39,522919659008
181,39,524163998976
182,39,528942336256
183,39,521186039040
184,39,530441188864
185,39,533703032832
186,39,534266451200
187,40,551190717952
188,39,545946680832
189,39,543572915200
190,40,554730149888
191,39,548697354496
192,40,551537241088
193,39,548761759488
194,39,547945913088
195,39,527355568640
196,39,533783258880
197,39,538575162880
198,39,537683601408
199,39,543863333632
200,39,547689378048
201,39,540851427072
202,40,551561093632
203,39,546344179712
204,40,560868179456
205,40,567797799936
206,40,568288297216
207,40,556755749888
208,40,569381125632
209,40,593398467072
210,40,608136381696
211,40,603189854208
212,40,601233844224
213,40,606067458048
214,40,611434769152
215,40,621598842880
216,40,618432341760
217,40,626914529536
218,40,635463247616
219,40,632435014400
220,40,630835655424
221,40,620546477312
222,40,614181955328
223,40,619453594624
224,40,613342377728
225,40,600364299520
226,40,592758500864
227,40,606591881472
228,40,611961095168
229,40,596553109248
230,40,614236034560
231,40,616307399424
232,40,609054959616
233,40,605524162816
234,40,576334283776
235,40,581558006528
236,40,577091893248
237,40,574841477632
238,40,577903203072
239,40,585557119744
240,40,581513715712
241,40,586341917440
242,40,570973315840
243,40,574982358272
244,40,576368019968
245,40,573056887040
246,40,572191737088
247,40,563435198464
248,40,573231596800
249,40,577534935808
250,40,586281080064
251,40,589707975168
252,40,597692476160
253,40,601203213056
254,40,603680575232
255,40,604047995648
256,40,610475272960
257,40,619701724416
258,40,627061084416
259,40,625549853440
260,40,633452959744
261,40,627969750016
262,40,619370087424
263,40,616671029504
264,40,631329138176
265,40,631581121024
266,40,642468395520
267,40,637652109056
268,40,635418368256
269,40,629694914560
270,40,636044133888
271,40,640772892416
272,40,630354809344
273,40,626979830528
274,40,629643938560
275,40,634213640704
276,40,650957072128
277,40,655233944320
278,40,658472352768
279,40,655572887808
280,40,654309583616
281,40,681109718784
282,40,685704492544
283,40,689078752256
284,40,688845166592
285,40,672923164160
286,40,675633793536
287,40,665382573568
288,40,684018473472
289,40,691765450752
290,40,687149578496
291,40,690255281920
292,40,683437270016
293,40,682444617984
294,40,685815847680
295,40,702300564736
296,40,700193100032
297,40,692714283776
298,40,693078592000
299,40,701735116032
300,40,716105258240
301,40,720450574080
302,40,710394428160
303,40,715291890688
304,40,718416208384
305,40,713953798912
306,40,712631235584
307,40,716555577856
308,40,727954960640
309,40,728167202048
310,40,716759520000
311,40,693513708544
312,40,690196066304
313,40,672913139712
314,40,662886856704
