n,msb,noise
1,27,104652288
2,28,213384448
3,28,261875200
4,29,354886400
5,29,407636224
6,30,542925568
7,30,599517440
8,30,679038208
9,30,745701632
10,30,945713408
11,30,1006514432
12,30,984955648
13,30,975241472
14,30,1069960960
15,31,1113709824
16,31,1076048384
17,30,956107776
18,30,1066708992
19,31,1098050304
20,31,1196123392
21,31,1138773504
22,31,1135839232
23,30,961576704
24,30,996781312
25,30,1039538432
26,30,936220160
27,30,905468672
28,30,1023626240
29,30,956794112
30,30,976894208
31,30,1008582400
32,30,988664320
33,30,892147968
34,30,971387392
35,30,885625088
36,30,948453120
37,30,835654656
38,30,1029505792
39,30,1037879808
40,30,1029255680
41,30,948445696
42,30,966994176
43,30,1046121216
44,31,1107577600
45,31,1074662656
46,31,1268656128
47,31,1133586176
48,31,1097232384
49,31,1235597568
50,31,1346311424
51,31,1243873280
52,31,1222577664
53,31,1290225408
54,31,1217966592
55,31,1192399616
56,31,1189729280
57,31,1311084032
58,31,1401023232
59,31,1519017216
60,31,1487341056
61,31,1616742656
62,31,1528783872
63,31,1439729152
64,31,1393347072
65,31,1304789760
66,31,1230451456
67,31,1234515712
68,31,1391206400
69,31,1288491520
70,31,1461533696
71,31,1479586816
72,31,1518855168
73,31,1475370496
74,31,1528541696
75,31,1648257280
76,31,1575783168
77,31,1455091456
78,31,1543054592
79,31,1754601728
80,31,1779802880
81,31,1732663296
82,31,1703960064
83,31,1687941632
84,31,1574504192
85,31,1657874944
86,31,1689990656
87,31,1663236864
88,31,1798844160
89,31,1759720192
90,31,1866850560
91,31,1913566208
92,31,1853118720
93,31,1855571200
94,31,2013871104
95,31,2005412352
96,31,1979709696
97,31,1943334912
98,31,1939916032
99,31,1826241792
100,31,1908967168
101,31,1828890368
102,31,1907774208
103,31,1665174272
104,31,1748264960
105,31,1838352384
106,31,1784694784
107,31,1662947840
108,31,1702237440
109,31,1785384448
110,31,1848429056
111,31,1947694336
112,31,1886359808
113,31,2004339456
114,31,1990672896
115,31,2068573440
116,31,1893403136
117,31,1849653760
118,31,1895909120
119,31,1902910976
120,31,1860942080
121,31,1884088832
122,31,2046964736
123,31,2079416576
124,31,1954781696
125,31,1909676032
126,31,1917121536
127,31,1867773184
