n,msb,noise
1,26,64237312
2,26,64242944
3,26,64240896
4,26,64242432
5,26,64249600
6,26,64229120
7,26,64205056
8,26,64204800
9,26,64209152
10,26,64209920
11,26,64204544
12,26,64219904
13,26,64214784
14,26,64215296
15,26,64218880
16,26,64214016
17,26,64204544
18,26,64201472
19,26,64196352
20,26,64203264
21,26,64223744
22,26,64232448
23,26,64231936
24,26,64225280
25,26,64227328
26,26,64228608
27,26,64228608
28,26,64218112
29,26,64216576
30,26,64215808
31,26,64230144
32,26,64230400
33,26,64231424
34,26,64223232
35,26,64214272
36,26,64219136
37,26,64206080
38,26,64211968
39,26,64209920
40,26,64220160
41,26,64212224
42,26,64209152
43,26,64203520
44,26,64220672
45,26,64225536
46,26,64223232
47,26,64228352
48,26,64217088
49,26,64210176
50,26,64213760
51,26,64219904
52,26,64214784
53,26,64216832
54,26,64197888
55,26,64198912
56,26,64203264
57,26,64200960
58,26,64213760
59,26,64201728
60,26,64204800
61,26,64200960
62,26,64194048
63,26,64194560
64,26,64188416
65,26,64189184
66,26,64201216
67,26,64189440
68,26,64192768
69,26,64175872
70,26,64175104
71,26,64169984
72,26,64171520
73,26,64169984
74,26,64167424
75,26,64161280
76,26,64160256
77,26,64149248
78,26,64157696
79,26,64147712
80,26,64145152
81,26,64145152
82,26,64132096
83,26,64136704
84,26,64129792
85,26,64136704
86,26,64140032
87,26,64134656
88,26,64146688
89,26,64152320
90,26,64156672
91,26,64157440
92,26,64160256
93,26,64172032
94,26,64178688
95,26,64187392
96,26,64188672
97,26,64178176
98,26,64177152
99,26,64179456
100,26,64160000
101,26,64175104
102,26,64189440
103,26,64189952
104,26,64191488
105,26,64186368
106,26,64189696
107,26,64190208
108,26,64196352
109,26,64202496
110,26,64187904
111,26,64185088
112,26,64189440
113,26,64184576
114,26,64178176
115,26,64167936
116,26,64170496
117,26,64165888
118,26,64176640
119,26,64163840
120,26,64151296
121,26,64162560
122,26,64165632
123,26,64166656
124,26,64179200
125,26,64187648
126,26,64189952
127,26,64182528
128,26,64195072
129,26,64199168
130,26,64200448
131,26,64210176
132,26,64218368
133,26,64220928
134,26,64213248
135,26,64215040
136,26,64223744
137,26,64214016
138,26,64217088
139,26,64224512
140,26,64222208
141,26,64215296
142,26,64211712
143,26,64211968
144,26,64214016
145,26,64204032
146,26,64210432
147,26,64217088
148,26,64215808
149,26,64219904
150,26,64216320
151,26,64225536
152,26,64224256
153,26,64221184
