n,msb,noise
1,65,26690076860132147955
2,66,44033518933949653866
3,66,53584929403006946011
4,66,59246068098536127745
5,66,66074481170914409727
6,67,74146064921893040704
7,67,82510840115178341730
8,67,79958120238551827906
9,67,85529876411434335261
10,67,87907997273992491652
11,67,92356089399558309014
12,67,94145773233008493188
13,67,102153083052243298757
14,67,111763300084629414770
15,67,113389043280536446267
16,67,115527674908523580509
17,67,120470778481351435474
18,67,126677259928121586879
19,67,130647950671625339169
20,67,126125665953919649878
21,67,128674838301529926535
22,67,133345266905194326147
23,67,145833121893078335304
24,67,147374530456013815108
25,68,155948938983117232694
26,67,147116718323376447442
27,67,144614402568217614825
28,67,144379067648026409284
29,68,158248019136169449914
30,68,160427048170260942052
31,68,163118672868554889810
32,68,160677745687687135377
33,68,172144958911441384337
34,68,179784026074129570265
35,68,177847578408476950146
36,68,174941557349773461276
37,68,176828765607845337842
38,68,184168423618451282879
39,68,179803910544880473333
40,68,172407675418108540024
41,68,175660354160118277499
42,68,176979200830228648156
43,68,181979488122421326207
44,68,183275900604104968279
45,68,190497482068242445552
46,68,188287680322248016695
47,68,188921215310035993389
48,68,190384185304907178335
49,68,193504543614132936874
50,68,195690305042028019199
51,68,200128013294597168804
52,68,205046742171742157243
53,68,204877945722013179244
54,68,204087595504636093152
55,68,209927598305565863173
56,68,216950907654161217165
57,68,220554709666055170433
58,68,220992372665892257797
59,68,225410685094277516848
60,68,238118378891714078976
61,68,231593897260483360477
62,68,231911604559993342978
63,68,237881299325906519259
64,68,237601148125078086713
65,68,243005598678491441778
66,68,253859771427315182805
67,68,264904127310330598162
68,68,269101031001537752722
69,68,265798099411551245556
70,68,270315154555871556091
71,68,277424578975376420576
72,68,282194775212183615659
73,68,292047313308178925057
74,68,294281904910230719017
75,68,287939171114509397526
76,68,292938375763399777770
77,69,304988040755894437573
78,69,306552077303635371353
79,69,316833823433573706784
80,69,314826702849208663387
81,69,317332257371636139578
82,69,321656137028013308542
83,69,337460784478492938451
84,69,339842729549990246540
85,69,341913116437403333442
86,69,341530135965523691099
87,69,350374210177492456971
88,69,339988324296414199470
89,69,344147476677663714417
90,69,346461979219441537835
91,69,343046607325346074368
92,69,344892239068385367645
93,69,353384839828098953924
94,69,357884242528601418540
95,69,362311832462224394169
96,69,362662001710523643814
97,69,350903153930882415824
98,69,358579616397854952683
99,69,355312463291173184368
100,69,359585152504153461213
101,69,366168274832494276618
102,69,372992887876415053245
103,69,370552601576120213506
104,69,372721686511978421333
105,69,374476313224423889333
106,69,367952775097936141957
107,69,364761177796874609458
108,69,365381985619236191240
109,69,361609970092886281338
110,69,361218711946568745862
111,69,365610243888606369374
112,69,349612218019076930383
113,69,356816157398333250203
114,69,354912493547066761698
115,69,364501534430217069043
116,69,357017679183477136489
117,69,358382816818241874836
118,69,360043288361061001710
119,69,365046681776176896787
120,69,374143547356839701287
121,69,376372168539866752041
122,69,373623041403436560708
123,69,378246281393826455480
124,69,376974355342814213356
125,69,375593571556267697299
126,69,368888825865963681359
127,69,376105775554093216713
128,69,367526488586104398760
129,69,362987255991087886803
130,69,364658240789911519271
131,69,370725538726677057637
132,69,367267334380629662737
133,69,366340666293472792383
134,69,359172345429869073022
135,69,356663000726366942241
136,69,355521733772649468497
137,69,371626238696538892253
138,69,378130811166542217796
139,69,368080502253283992525
140,69,367582066496318671947
141,69,359657897605831375424
142,69,366946420343998152799
143,69,351563309645925005672
144,69,346124136351407777210
145,69,349532407924315736404
146,69,350001988805403857176
147,69,363873168598837676099
148,69,366647822427677869186
149,69,365963025797312472473
150,69,378483519371378659215
151,69,376707899721279518520
152,69,378211735106710460172
153,69,378586765764487015554
154,69,392272237994393999622
155,69,397451733942380297236
156,69,400694111788448172563
157,69,404701458625424388793
158,69,402136181078499793596
159,69,419688182921787303881
160,69,417833786964008370436
161,69,418331965306936451683
162,69,409470869477705609504
163,69,410345533168391300230
164,69,409360541405119463204
165,69,399532084865787968173
166,69,405543040194671512810
167,69,404542560570762927580
168,69,414128492115442148033
169,69,410685714151713007277
170,69,419217080463831502635
171,69,416317480276568828285
172,69,422253210350483272469
173,69,414359736102004905549
174,69,408813772515829894815
175,69,402995402789460547119
176,69,412435286897850310152
177,69,404472106391460937817
178,69,413574563637031920504
179,69,411117655695357181125
180,69,408872793722006146129
181,69,416879898705207988962
182,69,426848038801760903418
183,69,434346916961265416778
184,69,428340051727329267872
185,69,424295208013646442082
186,69,429386760113835659406
187,69,430064698534690895674
188,69,406941464607003996938
189,69,405064793766450160547
190,69,405895123413330764682
191,69,403768233152760440810
192,69,410860081406719927846
193,69,401293977574046901035
194,69,398237909101661902096
195,69,407293819823313679775
196,69,413574807717737954627
197,69,416433292675621511796
198,69,412861825659624683444
199,69,432307088788362943030
200,69,434148104922153337262
201,69,432807640256411864347
202,69,434833434194872218223
203,69,433356090659911699842
204,69,431395286829176529356
205,69,436458093816371165703
206,69,431840434365800457666
207,69,427987441728054930857
208,69,422537267133637096143
209,69,431449287917554529049
210,69,423240515148334036284
211,69,439321943544150909959
212,69,440453458713952897713
213,69,431271927565984971877
214,69,437766839401418630433
215,69,442314031088485095089
216,69,438631096174024385039
217,69,436785388378445054779
218,69,440115861412031827668
219,69,439050854490863613603
220,69,437465799028967109773
221,69,444672892221255840000
222,69,442300791681812450283
223,69,438732607814239897288
224,69,440458242359640726019
225,69,441646688353642131548
226,69,439436950910434733295
227,69,446539641501781822155
228,69,452514200332383161285
229,69,460259496763143547075
230,69,456393140445537352624
231,69,452410443050002862564
232,69,457742320872041261475
233,69,465495498729296568621
234,69,473536658959792263382
235,69,469723460816871018605
236,69,469138820356282063101
237,69,469554536674704830948
238,69,470543139249327819583
239,69,465683359510745604837
240,69,461531300991952474419
241,69,464837209756249522265
242,69,470493025761058232765
243,69,475938723574241845487
244,69,485189741522786653000
245,69,483373729183078207394
246,69,484920487833265950209
247,69,475159747274691353033
248,69,479060932679292471464
249,69,478567453121492148287
250,69,488392077396096374868
251,69,487477275086222537664
252,69,489997416640003510310
253,69,492402351185147149734
254,69,503459029586253672026
255,69,501574365912898002016
256,69,505723563436271284323
257,69,512859014347915059552
258,69,504928704098915052593
259,69,501289042802397220010
260,69,504905527119141807324
261,69,506107854352727366897
262,69,502962272820022386206
263,69,504394392128748730798
264,69,500167306058863030493
265,69,509373873193515364950
266,69,514317879873792863274
267,69,519079883461681551477
268,69,512681363953388900112
269,69,517158021526372444055
270,69,522874895946531289860
271,69,516446838477253175783
272,69,514225548839802265271
273,69,515099350449321621625
274,69,499350192361537144803
275,69,496106497978297464012
276,69,491301428537532402029
277,69,494665720062580806186
278,69,505900224869993669820
279,69,510871886188545382893
280,69,505921151322303883491
281,69,520868212326990384117
282,69,514976679009375991232
283,69,510263982665669034949
284,69,511255473919637105705
285,69,519076938159498130625
286,69,528288935715258113143
287,69,522732398448801373231
288,69,524593826774359703186
289,69,529006927562167627601
290,69,529331628012422198865
291,69,530527078576292474107
292,69,526203124955874239383
293,69,534039323729118394276
294,69,539611569214045882266
295,69,541378935322455295443
296,69,538539175503539274498
297,69,530936188041469319650
298,69,532230692240778484534
299,69,532749004863073775189
300,69,533898548879071421775
301,69,538820329634582984374
302,69,531708122176582088700
303,69,531932837688634798325
304,69,532536343861416233999
305,69,542270052751134780726
306,69,532955517293749594975
307,69,538450765562926840150
308,69,535997674220150157589
309,69,536929351706983297585
310,69,545694028770420629931
311,69,543589548253738557639
312,69,549648524465483131309
313,69,556039821319346377814
314,69,558088065850426565986
315,69,564292567766031776191
316,69,562634952217445502887
317,69,559201028788076072373
318,69,563244201181451356863
319,69,569542781056784486345
320,69,572793588063365237183
321,69,581079629051804204183
322,70,594834146076228784384
323,69,590118229030633601078
324,70,604200092143229288879
325,70,600009789520011664203
326,70,600708897735467021197
327,70,609724889261694234330
328,70,615383282387810578556
329,70,611330834335563482974
330,70,608572469022285544713
331,70,619519782343806982062
332,70,625784865912516950888
333,70,633836039902241282415
334,70,644687779475427944249
335,70,640690570868287720979
336,70,641500757367970574439
337,70,639609000326095094483
338,70,624643649147210568285
339,70,627570021682311697874
340,70,622934134954284254433
341,70,629678931678806818043
342,70,632097972599383967177
343,70,622502727469702961613
344,70,621272519558451596875
345,70,631540185031221830259
346,70,627611729883568980268
347,70,630124462874944640269
348,70,629355832861402167912
349,70,630396785011781501933
350,70,634697227854606801177
351,70,639472358207371853915
352,70,635836751214791207809
353,70,623883040128466803328
354,70,628684684928947895528
355,70,633500908389898631909
356,70,640040576783553455242
357,70,649616050879312068637
358,70,654320648530956912689
359,70,659343405749985090565
360,70,665196055135857884029
361,70,674132572719665570816
362,70,689734850934339501979
363,70,697048328166174978244
364,70,706684838201759522094
365,70,710103631718341184075
366,70,713692810454634906939
367,70,714118068278723862572
368,70,710851915206682173098
369,70,717541389785597664275
370,70,713158435752556388974
371,70,712533753295719770619
372,70,716047465688225946152
373,70,710566185089612539689
374,70,712795756284207615538
375,70,725597641921114661815
376,70,728072126611924003116
377,70,740318103616004384698
378,70,754239432964107029636
379,70,755204530256734091203
380,70,749979149345847813636
381,70,762131037581636578592
382,70,753123394185903415807
383,70,766984595666062111239
384,70,764826917094553442065
385,70,765892985368560296168
386,70,765470314718509955718
387,70,762217717557846696574
388,70,761846062652539202974
389,70,751170304137138446581
390,70,753075037377868542002
391,70,742776681875100824547
392,70,739865021132473419966
393,70,746815189015026978115
394,70,758461494063309981413
395,70,753047471383136424717
396,70,749517990994973578145
397,70,742041394969099769098
398,70,740350854144694008448
399,70,740105454016109455640
400,70,747469436391733809065
401,70,742889774316964656270
402,70,752704935105028268520
403,70,763443377608990434301
404,70,771767742160282943155
405,70,752534963636289078156
406,70,752567304401511337236
407,70,755761575900557362482
408,70,764974364679707011682
409,70,764171358987394827719
410,70,762969167974196697500
411,70,756362065695376105129
412,70,742425949525105684361
413,70,748748448458803264467
414,70,744113817125677112389
415,70,720234222151123079038
416,70,707889280406596169694
417,70,705586751934218962968
418,70,710341011352970614033
419,70,709170141292561644574
420,70,705036695641880762997
421,70,707604827072457596983
422,70,708972292552402836308
423,70,726910805896341241211
424,70,732095053235920523091
425,70,726393206445785079275
426,70,728020058475714935113
427,70,719266745296415973353
428,70,722658051101306034561
429,70,736365953228505252585
430,70,739088089606263841419
431,70,738008223938719029379
432,70,727838877901399615815
433,70,712606823801723192230
434,70,710016730256064241671
435,70,707263348066699400282
436,70,705103836140937588681
437,70,715999179205929657616
438,70,710604409018459525139
439,70,713717203361287521387
440,70,713578988209747827289
441,70,702213375735602471108
442,70,697489925604612926510
443,70,700997413781226538977
444,70,696865132492389982560
445,70,709765321029739679633
446,70,717310423412692624255
447,70,731499634995946099285
448,70,734423516171138957643
449,70,740504580722769704413
450,70,739024204028899196969
451,70,733116886162599976038
452,70,732427726511697386574
453,70,734390974836567031126
454,70,743549269329156696918
455,70,747639684348799739663
456,70,729485248721024977645
457,70,736753150293847367781
458,70,738852419836245747060
459,70,747424350071320706138
460,70,751104814344996771238
461,70,745155323245080618206
462,70,750457458896117224739
463,70,740031119121136438777
464,70,744565500375263881633
465,70,757157089316150854719
466,70,760266663754565811784
467,70,774831771518418004931
468,70,773188254856005232922
469,70,782460387870918858246
470,70,789518987828427026324
471,70,777598478371949577042
472,70,783513095235485151814
473,70,788016521405247147876
474,70,789216639126132956515
475,70,786994777904294739374
476,70,796014428660839066671
477,70,791431619177013770453
478,70,789244943463416897676
479,70,785322904969005577358
480,70,785054369711970679549
481,70,777491719582565704836
482,70,774476392548361822023
483,70,785766332846161717453
484,70,785546520526891715724
485,70,792277669606478466176
486,70,800466348592216187543
487,70,794285630229667841790
488,70,797676534915018506685
489,70,806878227140960449242
490,70,803583980009508393190
491,70,809608901973052264035
492,70,810458759792230488756
493,70,811179002919060398593
494,70,811356516889140241851
495,70,816819890705146527292
496,70,818703457472216846422
497,70,812458366358223470445
498,70,817234334241574696459
499,70,830562465093474769418
500,70,828099818400114611958
501,70,827097967420073954308
502,70,831682232031563785089
503,70,828486427395777750775
504,70,825541946163949221181
505,70,837373350043500600608
506,70,830336762459990541455
507,70,829976238984098423810
508,70,829225829517709477587
509,70,824844471705469779791
510,70,826286487764357425091
511,70,822168748560764823749
512,70,815324476567767469604
513,70,817202384774842667045
514,70,832074688339376546063
515,70,822726283589731472575
516,70,823141575498105210222
517,70,826389672367625349995
518,70,823263903779842670886
519,70,828703631531945235450
520,70,811929411666880311754
521,70,806094136387636348622
522,70,795639955123457969997
523,70,797841948130912083989
524,70,788755577963909673376
525,70,798333191650367781604
526,70,795745634717899742322
527,70,791601285663983702668
528,70,789722366030881632094
529,70,778115288148211650890
530,70,794188888114625629742
531,70,808262980545837658983
532,70,796357600419746218664
533,70,801510927670556148277
534,70,786785631856165208848
535,70,786004153322641072257
536,70,784934193612534896508
537,70,794991874861233086468
538,70,800634948297031185184
539,70,808502626025698682260
540,70,806723484363789257112
541,70,808555743944925545107
542,70,815147310671144056979
543,70,818794330002002088756
544,70,814422325529199762338
545,70,809956592273060244621
546,70,801106582212356470813
547,70,805225328131794857957
548,70,800203573961740965278
549,70,804142681657822401445
550,70,815532245400647484309
551,70,817766752307886737549
552,70,824028655693492790365
553,70,823255838457317043268
554,70,813744753400054093583
555,70,819054557102338398239
556,70,806540080632043532950
557,70,817687940688790275530
558,70,813280387838141277925
559,70,814873527663991413273
560,70,827887013576366032600
561,70,827114288771636304432
562,70,819232104225726863585
563,70,816949411958068136037
564,70,823533397751001323922
565,70,827301077568771579553
566,70,815026194679009728886
567,70,822922736487494682848
568,70,813587477558850912193
569,70,816900785249163254421
570,70,822761257017407914577
571,70,824075315409073536194
572,70,811661156602820688935
573,70,821246294058390359030
574,70,823808119855041964640
575,70,822963536816275547510
576,70,819192158972345250828
577,70,823687566724525505060
578,70,823198569478132881506
579,70,820901875156552682594
580,70,821478050714542054907
581,70,811244549348684851928
582,70,806818646358603642525
583,70,821555773333010040716
584,70,831348450239548619286
585,70,834239791407628301975
586,70,837851972777286674348
587,70,833002197746160643645
588,70,831847373022544276528
589,70,828214468349363765643
590,70,836437032197771466933
591,70,839105620616367384792
592,70,833532604973798328494
593,70,837370607422413168593
594,70,833715514220018515793
595,70,834748053640493292160
596,70,831681488526781158720
597,70,831902311482118891050
598,70,825086443949072487331
599,70,825253532711491539343
600,70,828027050617329739745
601,70,832871470563688092247
602,70,838493916007243151395
603,70,837280109593235820748
604,70,854022531489767059353
605,70,859148073684558572309
606,70,856900400134128216738
607,70,853979780454842390113
608,70,857453909360522178488
609,70,857170472778061133290
610,70,860401681594536056974
611,70,853652265549484239459
612,70,860633825704753379364
613,70,871759978871201852400
614,70,871391581024676084871
615,70,872181516280935466613
616,70,874692605023721356450
617,70,870940541629197753604
618,70,874742339731532436469
619,70,877967006114352179925
620,70,874450102295328009540
621,70,872973542272527131572
622,70,876750016968499597587
623,70,878278974296163281876
624,70,880763459746479599535
625,70,883723603926056710387
626,70,882995639573855582329
627,70,874711105553289541587
628,70,878894205224784188001
629,70,879155939951250000907
630,70,883301058501534822353
631,70,892037668568097563409
632,70,896217337091143413177
633,70,891194535246143911760
634,70,891738589752380260055
635,70,884885266297665283063
636,70,882129780908600031763
637,70,889481441103736778907
638,70,893654777311450279012
639,70,891228091073424662053
640,70,889023819192879704291
641,70,887852625634515564915
642,70,889631598890586760302
643,70,900131008413645786647
644,70,906951860252990613979
645,70,908585153511852662136
646,70,913035868961710794304
647,70,901583097860066409108
648,70,905109607535710936940
649,70,897682544118631995364
650,70,903246690739392687070
651,70,907704924831202262348
652,70,903445171944524924804
653,70,908981952119669681932
654,70,908614889160885962563
655,70,897788637138491131949
656,70,906291498642621262517
657,70,910631376105708055395
658,70,913973532838666154899
659,70,917772925621559485244
660,70,931089592448636484164
661,70,932291177606598550353
662,70,952685245336996485482
663,70,956258028298587655432
664,70,951402737246415565130
665,70,947455624897432069776
666,70,940930699130715565695
667,70,948147392895303662836
668,70,947435498038916430665
669,70,954206808579097134470
670,70,955203729090905128205
671,70,951311774428605116126
672,70,968535138707122096508
673,70,976706826735460560985
674,70,980668827031705267894
675,70,980470322382063308470
676,70,977019449307535849838
677,70,978600628682141686442
678,70,982250812784448011511
679,70,989241203972075920847
680,70,983196630274375239567
681,70,988291387213044490792
682,70,997672644224655393922
683,70,1004954542052745723925
684,70,999666919725387873947
685,70,995708715371541543462
686,70,993148859442354740908
687,70,994677168579575147987
688,70,1010819330708051306878
689,70,1022336749954242413571
690,70,1029573957551061021853
691,70,1016419527087088441142
692,70,1027818734529577619760
693,70,1020134509378100560051
694,70,1011719266580733229801
695,70,1008232923825425681774
696,70,1009704921907694436118
697,70,1006532932707224996117
698,70,1011948668825945597575
699,70,1018085240474089679526
700,70,1016874299062790898270
701,70,1029174109110418927267
702,70,1029647096878385727001
703,70,1025448467463648328220
704,70,1023555565898502063734
705,70,1033144689300492199325
706,70,1023067119921976800244
707,70,1018115003623132386233
708,70,1007208992174483006186
709,70,1007400357149419164073
710,70,1004704271007179030587
711,70,1007263200194104190786
712,70,999201240266509074298
713,70,996494927901840117590
714,70,984943437121958322595
715,70,992474232153937169751
716,70,1003941417759848190393
717,70,999582160921757568804
718,70,998525397165607688369
719,70,998889497729973179324
720,70,1008182373679190281757
721,70,1017253839210540975750
722,70,1018111120404155776960
723,70,1026512606554849492650
724,70,1030636574946446816919
725,70,1032552290131958564765
726,70,1039119494315747580811
727,70,1037755234487436504033
728,70,1037519386358794303122
729,70,1028258486164006493962
730,70,1028391247230794651982
731,70,1033673509018418854774
732,70,1033939633582670143098
733,70,1036052330137472786605
734,70,1029105843949770647940
735,70,1034543390454744289244
736,70,1042487641761860421305
737,70,1041885416244339124416
738,70,1047892667885182128488
739,70,1039244720289028517628
740,70,1032709900215595585656
741,70,1030142841725667619106
742,70,1018060144771012058977
743,70,1016365575668497628866
744,70,1009012990339521859526
745,70,996480895747745476881
746,70,997724247263697828861
747,70,1000042162115528563674
748,70,994730224758114526010
749,70,1004473635861097290637
750,70,1005205761408725392068
751,70,1018648279532211072875
752,70,1004070283763567728612
753,70,997828618914396228729
754,70,1002040996226579992758
755,70,1008010634952363171964
756,70,1001071462785137952197
757,70,1008251902135802059121
758,70,994422817208873595576
759,70,1006104953066446947503
760,70,996347841520687959989
761,70,1002504374843973244155
762,70,1015013937630959002429
763,70,1013368099212264021431
764,70,1027579148865214794274
765,70,1025005202890292793950
766,70,1021427315510347660889
767,70,1030302895377721452308
768,70,1023044528790788642972
769,70,1025926915928998255339
770,70,1024275585654475752544
771,70,1031784779984712639302
772,70,1015718591065269774414
773,70,1009452710730902266684
774,70,1015795708377790362217
775,70,1018792584903634044748
776,70,1011102982011361982459
777,70,1014937753198123320047
778,70,1021162624681195715245
779,70,1029151065995948957544
780,70,1036435964634530108709
781,70,1032325713639861550257
782,70,1041546217730098352546
783,70,1049944934535877839703
784,70,1046340081611833575107
785,70,1054676499610279832323
786,70,1054913204179530396579
787,70,1055147213594972727833
788,70,1059188882192376755745
789,70,1060113539003271670023
790,70,1059974197108478436436
791,70,1058958808893251224244
792,70,1057760240008905674718
793,70,1060620689247148696486
794,70,1055839913941274048895
795,70,1040629650857834495859
796,70,1041535921195304817497
797,70,1051311166477481533867
798,70,1047560094045436865365
799,70,1047056739153099692350
800,70,1044829532062401765658
801,70,1043592209614503933587
802,70,1041274978593727921122
803,70,1030496147144209565195
804,70,1040474020563186088297
805,70,1051185051407107811957
806,70,1060526940820522626751
807,70,1056891038095388232971
808,70,1069978918464074306345
809,70,1061870023004310028303
810,70,1065150932354223374787
811,70,1069231372109673611019
812,70,1067039192101161921964
813,70,1071979181751924218779
814,70,1072704532328882414690
815,70,1076330731906755639605
816,70,1082572228193754525058
817,70,1072174068992984564750
818,70,1064307955238736064225
819,70,1073683641115137875184
820,70,1074887682953676705994
821,70,1070530708574909475722
822,70,1071110332907138043899
823,70,1078541235151295596684
