n,msb,noise
1,86,54005032714887523167971657
2,87,98541314503153572298491770
3,87,143291264008358087615767489
4,88,185308573269356312398266772
5,88,228333246677791917289656125
6,88,271124610519235408546672371
7,89,315875016948527622044095696
8,89,356016768352120032765026062
9,89,400755932688629810726398325
10,89,440611872437876311646521206
11,89,483817909390627743838576460
12,89,523029458590103658626856996
13,89,564543639920978168194755029
14,89,610594958299274333341401567
15,90,650955970627247143380111249
16,90,694209541154777658810360733
17,90,738927399627113459196701806
18,90,778367302851550250438181949
19,90,814085900774768928501806708
20,90,861328094563357096200713008
21,90,898381812076977823603378823
22,90,942887674746206583473551689
23,90,991227146858397716008600517
24,90,1030883312474361477080055523
25,90,1065960041804816193108502454
26,90,1114944157333064750900790910
27,90,1161913530879406929842481216
28,90,1205820429258896391459357550
29,91,1246716318856623478187038425
30,91,1285419623885896881419396799
31,91,1334435035789360399959593841
32,91,1383369725304138283832993650
33,91,1423111696533070181655087569
34,91,1459581331804561935068152797
35,91,1500858369278177848123927959
36,91,1540910309243444854064398064
37,91,1586943984330842913109316021
38,91,1625406734413968349461048732
39,91,1664649057854614572027339628
40,91,1711265284593811725851042789
41,91,1749273727352564810266605531
42,91,1791048692917744551554666117
43,91,1829887345066795035389046611
44,91,1871876016805947762372310748
45,91,1911594474981897420631576215
46,91,1951184815849543438816636394
47,91,1993004080595313516410395827
48,91,2027516132096089768994261974
49,91,2074523753790537940296653451
50,91,2116779213269559423779631838
51,91,2159717154252030084604798514
52,91,2202168948348285360362233141
53,91,2240424608065204589999314755
54,91,2273024229532732533629132383
55,91,2320161818957929947328264848
56,91,2356448509396201206101540727
57,91,2397243954445902008757242441
58,91,2436375447591803532539270414
59,92,2479921787082752685466941537
60,92,2521534660142615406393630750
61,92,2559422491841068343313100553
62,92,2598405283229913983051545510
63,92,2642997717401982704340620441
64,92,2682193131358607904275713003
65,92,2723746509978234844936211046
66,92,2768884261468378904168370873
67,92,2815751109968683766718308749
68,92,2858775511987517199950360048
69,92,2893065018947706867632297883
70,92,2923657147620162464244017943
71,92,2961104409207667841030746378
72,92,3001803037546483906756153245
73,92,3039022847866691866140993837
74,92,3076160940615827016803520748
75,92,3120022515722544116988809072
76,92,3155575102368658163441065700
77,92,3198498485676837140466916921
78,92,3233888282055883977402206959
79,92,3267781102763015824460586964
80,92,3304836006307759590640560076
81,92,3352125328081664855411599280
82,92,3402711530471304863792409323
83,92,3436139587978417037819347432
84,92,3474796092965613707052716450
85,92,3519444608659442803576830756
86,92,3555091912915548962400268419
87,92,3602551903029147601814320921
88,92,3650251160038825351646557448
89,92,3689660801273994811264907400
90,92,3730165396143868924718469025
91,92,3770175485083807532899406310
92,92,3811497819080192210709780289
93,92,3838588759151428420898546962
94,92,3870334576577734314045294666
95,92,3913243416148711963053230611
96,92,3954008950977446916880631892
97,92,3990555581014274148304327892
98,92,4032005873158719068282291968
99,92,4075379037819617002362405524
100,92,4116283642365367564114455613
101,92,4161843121361285084280844579
102,92,4201387504936208774738616949
103,92,4237559958470979844335065751
104,92,4280725546712328690486808915
105,92,4319018626574984303857174002
106,92,4368039456415513546809625718
107,92,4411217516024933553704619936
108,92,4447155073894519666076408391
109,92,4488839588135869393612316885
110,92,4528121719131616909136817050
111,92,4571189539806119959403424661
112,92,4611973319000410493251816134
113,92,4651449382306135082534646210
114,92,4689105899021905661779943544
115,92,4739404021977816128019220074
116,92,4772384296996218228167364051
117,92,4812986260699016473319554846
118,92,4847384430602823000374201226
119,92,4880322478191959802350774023
120,92,4921567719717007543295147467
121,93,4966491363225640665007629119
122,93,5010595160471693485342628863
123,93,5047835224596922393610076981
124,93,5085623026450104387799746107
125,93,5127948446896452616308977604
126,93,5166887821056021865748947232
127,93,5208227232788038188824381455
128,93,5255785531168735757868209709
129,93,5293899547248046059545009166
130,93,5332895867365258785802982782
131,93,5376359367476018149433422210
132,93,5412457562727480499623674289
133,93,5453313378234833844692983471
134,93,5487380620387176580806566923
135,93,5518348929279727140191572804
136,93,5561789725421880912920069301
137,93,5601209103565172432627156899
138,93,5650715994351349345581549805
139,93,5701820158218047267027707996
140,93,5742165467357676928305395235
141,93,5790123475221302263730074223
142,93,5825941394487585504974862759
143,93,5871631019318765994569602432
144,93,5906805537046106922904627349
145,93,5945419134599199632727699344
146,93,5983696467815682528377006999
147,93,6024047827601248406222953924
148,93,6061522069709757325830116287
149,93,6095039622856216061058514064
150,93,6132215012163234017536251139
151,93,6177492670971066296016737504
152,93,6221465900860330876918354791
153,93,6258074526410789322302101892
154,93,6297468280036956758261170209
155,93,6340532514000468277032260854
156,93,6374753053617303459077218732
157,93,6419057138631822174879759606
158,93,6466030098950649671623404323
159,93,6511273196307840333030206439
160,93,6550807719164077448387589683
161,93,6585364308793730408446714599
162,93,6632681595952504492409347887
163,93,6673752460883831213969695819
164,93,6718751573840447279387214998
165,93,6756386759285278900323411655
166,93,6794646952278508752178061359
167,93,6831361099974832216072154356
168,93,6875549836368504757844185173
169,93,6916826353898657058300297379
170,93,6961498240304218648668120876
171,93,7006060375507444002330345614
172,93,7048902537277435225635666046
173,93,7084663271558823480759249759
174,93,7124873843648538813169106708
175,93,7165012408377365672342349911
176,93,7207233474760798589149884465
177,93,7236177638107972489615236781
178,93,7270643617822640321677331019
179,93,7307187070961617057492587898
180,93,7343892704344166918045303730
181,93,7389167948070546983574453690
182,93,7433838034570735590495352585
183,93,7470629102580582541838585857
184,93,7511049015128082303661563005
185,93,7553471564521341098503402847
186,93,7600818566826638298145707154
187,93,7640288727352997407036467580
188,93,7682776697127326421926737537
189,93,7723318774714868649462887831
190,93,7760533145979651243891574502
191,93,7798281149974232749970713768
192,93,7840380832742286107495549591
193,93,7882419026921370885379089980
194,93,7918043262803681340583984260
195,93,7955313036431638362360529017
196,93,7989765045653324700341500098
197,93,8026412335608839000763278963
198,93,8069380354614868773309013394
199,93,8112545567596806574591490821
200,93,8147183117630081176214959284
201,93,8188967313717141376920146433
202,93,8227438444992798828537563332
203,93,8264129671432379652049360963
204,93,8304303896935567493705793208
205,93,8348821243815274065611477064
206,93,8388828176690085521248372270
207,93,8434101013085001535117529091
208,93,8474965724828132031998065923
209,93,8511824620868714651510339409
210,93,8550601948823626507946517143
211,93,8590308510822864886608096099
212,93,8639267030850933600069647686
213,93,8686697064491088129249334466
214,93,8731978151563739075923855983
215,93,8768652118880954183912483526
216,93,8801988297959865203264884590
217,93,8840721865682555861548105552
218,93,8884646245413576053658326644
219,93,8920964833252306604667359074
220,93,8967237403507126512234352342
221,93,9010347686730700381729004986
222,93,9050174929925065840170907050
223,93,9097960443888637770293709437
224,93,9132458716062711236976926718
225,93,9171820476616494279271030632
226,93,9222077643173601004471072598
227,93,9254201966935146683228656833
228,93,9291577402601233447808204677
229,93,9339614915767639682942032435
230,93,9383612987122703395036246377
231,93,9423985753118057993889015609
232,93,9462455259602624307450778511
233,93,9502926701042922322018884358
234,93,9538852359898848742897208260
235,93,9589388002845456174589567782
236,93,9628964031501911628599768055
237,93,9663057134708238029252442916
238,93,9705429762891390569396554913
239,93,9747257308974501541744676602
240,93,9779546207100712028668185831
241,93,9821769819417183628378679207
242,93,9860504820233311460813112322
243,94,9904976395886105585735906452
244,94,9951800223933304438993952117
245,94,9985043206360228202125552144
246,94,10018885110668557586591850379
247,94,10057958768505004567065340897
248,94,10098809581439709218264120668
249,94,10140369933405133189741441535
250,94,10188948483599448112865816744
251,94,10231743894693733128833635594
252,94,10265521643806389431571850683
253,94,10311332623769637646136403589
254,94,10359152336276354140347667114
255,94,10393158585166513007414664375
256,94,10429967829676994222754464697
257,94,10468821346410649760560758969
258,94,10512955714615232031920898081
259,94,10543256303204645311436983486
260,94,10587072004554587220102483113
261,94,10629737461574826037208618732
262,94,10671432379996949458947109905
263,94,10711960853145128325041867771
264,94,10754646618111425564994346810
265,94,10787154643634707245013767484
266,94,10823247089996371621049233517
267,94,10864832071989633400400563172
268,94,10901126893266702176278077715
269,94,10944701926884627627003125782
270,94,10991121509434567535585997812
271,94,11023281695433313381589297909
272,94,11063427734080355459696562156
273,94,11109386599471445865837955975
274,94,11148341593652297711138793105
275,94,11192613849203827686571665832
276,94,11230881992417464663552025906
277,94,11270979654189370770937014003
278,94,11309602450365002255713053910
279,94,11341641357415937477398843231
280,94,11385686267279460671031531155
281,94,11432389678184432837696675423
282,94,11473040134055564277822250337
283,94,11510134935566670541165267362
284,94,11550035907874635809701893158
285,94,11596492510943061640689377830
286,94,11635576883254058253055279781
287,94,11677101071083854403516150920
288,94,11719746381201284363810550921
289,94,11758400703010289391409425936
290,94,11794384918089425503433853139
291,94,11835132494470665632814752042
292,94,11872112364584673407771657121
293,94,11909161159778824355218908143
294,94,11947306215780295960291396522
295,94,11984521544374821173937868861
296,94,12029411973135199634425912269
297,94,12080658802325821846444218738
298,94,12120874880374155676339600881
299,94,12165765260462985796109675688
300,94,12199758896906383365555014558
301,94,12236347686579637100798494280
302,94,12279611905774047151797700882
303,94,12320405388283566761331819171
304,94,12362393765443526246201213001
305,94,12399859160724282603822820776
306,94,12438216291387019064367262519
307,94,12480029371585865445445663176
308,94,12520789273159734451093255280
309,94,12552437162181125998031742493
310,94,12600044855106012076524140006
311,94,12641328023156787781960272777
312,94,12682332994981469715503926145
313,94,12719709876714222772536839625
314,94,12759917777842942288151583152
315,94,12803227544063862123235227357
316,94,12845129149290023433144907297
317,94,12885028281813698634753000862
318,94,12918287570342541513687040549
319,94,12961332380025998272109523168
320,94,12998731337349265538983723038
321,94,13044690308490203732524035210
322,94,13090544110479755639463153274
323,94,13119612350499892634167017754
324,94,13150005182704121041063271477
325,94,13192738411478760086912145411
326,94,13232384844456069228494806525
327,94,13279691436073161912420999311
328,94,13311563535379909557106026460
329,94,13358482783925316201092307345
330,94,13398580026988790316682568043
331,94,13443689482838181517203945683
332,94,13483323278279797481034450177
333,94,13524268960564489727990883040
334,94,13567489662512555968635901595
335,94,13614596044074540945772933235
336,94,13646780242455604475962568499
337,94,13691477588625761767689728925
338,94,13729552531511726577468151792
339,94,13759915929305391334423494182
340,94,13805730900544809404463675305
341,94,13836053730070171555468626715
342,94,13873871759375384537058779011
343,94,13915050687747222577281491035
344,94,13957476236545009346385684259
345,94,13995739743081408521716061106
346,94,14036979560339954328080932349
347,94,14075384972110962422159406678
348,94,14117002654876258975810804117
349,94,14164613637753104184281413841
350,94,14199828843384674231165499340
351,94,14243408478803874220843708668
352,94,14276128224557209124245721424
353,94,14316278943040120004364051110
354,94,14355672272394188688356083423
355,94,14399861113254693679769538688
356,94,14438649906157723341988670786
357,94,14475184536715765752791428055
358,94,14519942282813973679221393594
359,94,14567442197304029892896006976
360,94,14613507870895847459865391701
361,94,14655975533019003595481153438
362,94,14696207364451370952680615610
363,94,14741832001706515444160460372
364,94,14784489267441773496313864369
365,94,14820985603037587828215682218
366,94,14867546326116211769689717019
367,94,14906311353818742406572399034
368,94,14939190334963549030195337880
369,94,14981988910567297265140434277
370,94,15015996717475925862338600868
371,94,15055613636069508803063846544
372,94,15090897724630124801411326402
373,94,15134320479939878689943143411
374,94,15166046631104889695631621608
375,94,15210993059944193545392847796
376,94,15252339306281118362145719345
377,94,15293505177835175240458101341
378,94,15333770192649860602228053510
379,94,15376313912062713265565895740
380,94,15421334877572557136320487685
381,94,15465070341456883403282174290
382,94,15507991824666670006335749937
383,94,15550188884884464546704465277
384,94,15583159260522736634790947682
385,94,15626067872185430031120619963
386,94,15669415215482133430937482653
387,94,15708417927634481309172096412
388,94,15747480576728534699762165481
389,94,15785876599304384144947433981
390,94,15829077388333097171630628816
391,94,15863537624569648906224849635
392,94,15910317508969344313045907319
393,94,15950615113704729813349702475
394,94,15992643765703283222145771168
395,94,16023596627364726635144002640
396,94,16067350587166585391280878506
397,94,16119892609808184875897453789
398,94,16157541872512586481469356366
399,94,16192582943853138236674036417
400,94,16230945375715451752893804106
401,94,16270227137512518366301311022
402,94,16305910158350329658979575263
403,94,16352342794044612599935383167
404,94,16389112619846009460346943841
405,94,16425380351301260929894677918
406,94,16469008819735849811062085629
407,94,16505764971549721827972584257
408,94,16553982501571400282803881908
409,94,16594440941192309613462467054
410,94,16629242059869242824283883477
411,94,16664669263116804022049544913
412,94,16700823141993388511612998500
413,94,16735029404900135739296615977
414,94,16772270020864474372591709470
415,94,16810188338147727501480069100
416,94,16850877472516218867458352611
417,94,16889000402934908797103359665
418,94,16927319240701079041384689251
419,94,16970997618710183069370935892
420,94,17017430716176224375463887124
421,94,17052424848802863207905258437
422,94,17093937498638988437802590617
423,94,17139524441679011145000140749
424,94,17179689763437221277052028346
425,94,17217943250069180773333965142
426,94,17261872501587366070133513874
427,94,17295208898322914186051966069
428,94,17332324122123336558735409635
429,94,17373772218085970928904868771
430,94,17419216526900029697094801204
431,94,17453172127290760663659447434
432,94,17497307704303036155689679930
433,94,17531110199352522499648715803
434,94,17567332869789606225574260933
435,94,17605181491579962317596791690
436,94,17645492305640849025827347109
437,94,17680577600603997067356210353
438,94,17721657005784825072501278089
439,94,17758907789811441641292055017
440,94,17797393049803330726777546198
441,94,17831049444216993257190516220
442,94,17876021331894801391856813248
443,94,17924898107700268287851904045
444,94,17973529982402076469582854352
445,94,18016482169332555218306285339
446,94,18058043295805919398894282613
447,94,18098831919210380923477887182
448,94,18146540180443866145800920613
