n,msb,noise
1,46,41837835923200
2,46,64044046756096
3,47,87395381274368
4,47,112239549248256
5,47,129424843525120
6,48,158880209484544
7,48,172293768142080
8,48,187434075241728
9,48,213371354314240
10,48,227891011854336
11,48,247140486074880
12,48,261876145155072
13,49,284444811934720
14,49,307908887894016
15,49,336303012155904
16,49,370515196691968
17,49,394019473178112
18,49,403718530503680
19,49,408435905000704
20,49,416529972988416
21,49,436057436532224
22,49,458047087259136
23,49,469929336292608
24,49,484047697714944
25,49,502766582875904
26,49,537222909981952
27,49,548855751653888
28,50,564462387255296
29,50,570579952918016
30,50,583887443801600
31,50,607669496290304
32,50,621637032525824
33,50,644117147248640
34,50,669334663733248
35,50,678118978533888
36,50,691855956987136
37,50,727156223560192
38,50,731311488543744
39,50,750931558303744
40,50,766393243629056
41,50,789907472854528
42,50,800069891811840
43,50,818016845138944
44,50,849890697185280
45,50,873502281613056
46,50,900824015379200
47,50,922945737883392
48,50,933662411803904
49,50,950006246840320
50,50,977261547354624
51,50,1019665431617536
52,50,1037517501705984
53,50,1040705165820928
54,50,1042568822927872
55,50,1053155852042752
56,50,1070197311727616
57,50,1086164196927488
58,50,1095716648092160
59,50,1100606731803136
60,50,1115304378608640
61,51,1135648407760640
62,51,1157876053296128
63,51,1172714561276416
64,51,1181192324394752
65,51,1192062948007424
66,51,1208416231580672
67,51,1221933932118528
68,51,1237835235944960
69,51,1266025043052032
70,51,1287094321488128
71,51,1319494084930304
72,51,1333422747418880
73,51,1341855862984448
74,51,1359320553030144
75,51,1368476394856704
76,51,1374644875175424
77,51,1389440601207296
78,51,1405771966642432
79,51,1422930977875712
80,51,1448843636193024
81,51,1469756424227328
82,51,1498043089195776
83,51,1505349857726464
84,51,1522457074359552
85,51,1547854795313664
86,51,1560279213330176
87,51,1578306180194560
88,51,1602978637121536
89,51,1601717997976320
90,51,1611915013776384
91,51,1639031521265664
92,51,1651120168443648
93,51,1671486629004032
94,51,1690507546063360
95,51,1709851566465536
96,51,1717954996541440
97,51,1747232152332800
98,51,1772271098058496
99,51,1803127958710272
100,51,1822456724109824
101,51,1835873186402816
102,51,1838652431055616
103,51,1850718277429248
104,51,1874961309238272
105,51,1885616618275072
106,51,1890739322472960
107,51,1903926319978752
108,51,1935495055504640
109,51,1944030449509376
110,51,1956253215608576
111,51,1980187651568384
112,51,1996761786599168
113,51,2012508318877184
114,51,2035685792758528
115,51,2056205525399296
116,51,2073053602770176
117,51,2092983546846464
118,51,2113348291521280
119,51,2127714694485248
120,51,2146202681056256
121,51,2177906393198592
122,51,2203989160166656
123,51,2217767949193216
124,51,2225332833284864
125,51,2243988998657792
126,52,2262319079946752
127,52,2276725320139776
128,52,2294161720110592
129,52,2313139366342656
130,52,2315699201653248
131,52,2336270627521792
132,52,2344702994361856
133,52,2362989487470848
134,52,2376868868400640
135,52,2384655847880704
136,52,2384288539769600
137,52,2396201795222528
138,52,2421282295488000
139,52,2438989572437760
140,52,2458124768598272
141,52,2484074756926464
142,52,2521895988499712
143,52,2549241794138880
144,52,2547471600352768
145,52,2567803767027200
146,52,2580484935239168
147,52,2604283796645632
148,52,2626464447996416
149,52,2644582536395264
150,52,2652143539915776
151,52,2661756987417600
152,52,2677682734510592
153,52,2700940801055232
154,52,2722785933563392
155,52,2742355336123648
156,52,2774006785178368
157,52,2782243183427840
158,52,2797496388126208
159,52,2818071466175488
160,52,2837929934092800
161,52,2848082291954432
162,52,2869718179156480
163,52,2882067713556224
164,52,2901653685715968
165,52,2920212476312576
166,52,2938311566540544
167,52,2955931912418816
168,52,2980704287179520
169,52,3000495761853952
170,52,3008440048236544
171,52,3029159470668544
172,52,3045430363717888
173,52,3067254814167552
174,52,3076138703736064
175,52,3090393889421824
176,52,3104976484069376
177,52,3127685418578944
178,52,3142571290747392
179,52,3150478370513920
180,52,3174213901255680
181,52,3184933876486144
182,52,3203614155279872
183,52,3220813639422720
184,52,3232585660771840
185,52,3254445664505344
186,52,3280559255467008
187,52,3282642396811008
188,52,3315374532892416
189,52,3334226953786880
190,52,3344273737816576
191,52,3371981199219968
192,52,3387564248071936
193,52,3408930497080064
194,52,3433566406777600
195,52,3445274250420736
196,52,3456920693533696
197,52,3475305646908928
198,52,3474619081143296
199,52,3482766982665216
