n,msb,noise
1,72,2681480873441301853731
2,73,5226725309377051889823
3,73,7782216111573248596466
4,74,10400714831758814000986
5,74,12937585123876117184640
6,74,15447579115423994217566
7,74,17995471766390592410782
8,75,20545971261811407263771
9,75,23078254127980477821791
10,75,25664373688059991964496
11,75,28131168718650756505379
12,75,30715666814623783392863
13,75,33200957883620360449121
14,75,35695377397542044498302
15,76,38329611644105109017606
16,76,40840688187340927595173
17,76,43346180741191950415419
18,76,45838418317257785708068
19,76,48431152613694576023684
20,76,50957501971415761363957
21,76,53565243168027152248117
22,76,56059448618544815264972
23,76,58611751062737181149562
24,76,61225946048150475896433
25,76,63726733227429456286778
26,76,66176086828187642741840
27,76,68730325252781786014720
28,76,71294944958596625132671
29,76,73790444440986933453816
30,77,76352278180872151346084
31,77,78920302220825531036663
32,77,81486133956651892294732
33,77,83958200488552995908232
34,77,86511694591719475119528
35,77,89139188338745368447357
36,77,91598534728712274091129
37,77,94206540175959738599853
38,77,96789512611735572394485
39,77,99334591146717908200454
40,77,101850103571955493683684
41,77,104395974824392527048994
42,77,106939741543330465882572
43,77,109444183840208659226005
44,77,112033077466924615685509
45,77,114578867943287095824117
46,77,117177427039584930176724
47,77,119624651276264048696420
48,77,122060412870047680013105
49,77,124610930888619239699583
50,77,127164159900914580500296
51,77,129646272174298401678095
52,77,132165874180956994477113
53,77,134761090814911260784130
54,77,137342055065378117235601
55,77,139900030873101491043402
56,77,142373766564756214249884
57,77,144931080241104082779773
58,77,147457047008511484574953
59,77,150086311736910242414737
60,78,152625504918881293279981
61,78,155147218783874047157517
62,78,157663179444901269370362
63,78,160200048330138835257260
64,78,162702029536559843062115
65,78,165217683730748803518975
66,78,167797880941973422955703
67,78,170331313083972498601996
68,78,172831221503375872348336
69,78,175312499623394113730400
70,78,177798371828711504976192
71,78,180380338254218350858537
72,78,182840413362106994131917
73,78,185362909219778809309948
74,78,187891025518497602168049
75,78,190590344056463328359973
76,78,193059576398402448535501
77,78,195585551571752127710368
78,78,198124638465789221989998
79,78,200635002317728057088232
80,78,203185100832474892336711
81,78,205557577748796907691240
82,78,208018068007636047507515
83,78,210581597845984675118719
84,78,213117418378427070131586
85,78,215629187727509205442181
86,78,218027298490031576305860
87,78,220563290794619136188202
88,78,223066107526516455301838
89,78,225520327608172322282574
90,78,228067819595089987006944
91,78,230602238467911898030202
92,78,233129026062247150530858
93,78,235569733058448839082741
94,78,238201247699537737279904
95,78,240643754426566219543834
96,78,243211296920808467735273
97,78,245757644952745982326454
98,78,248352913831803818593310
99,78,250960478006726124448703
100,78,253546764007790268348858
101,78,256094004778531284611233
102,78,258609992823735530817575
103,78,261216505251349406424917
104,78,263673169092863664128983
105,78,266296267202873900440436
106,78,268824216391811158541742
107,78,271268072005020420366039
108,78,273823837892434606013600
109,78,276400419808828438183241
110,78,278897406396517066019057
111,78,281436945380283227977597
112,78,283917603216079131708049
113,78,286484871893665298675729
114,78,289028329385827267408849
115,78,291545155294715093984357
116,78,294124428239138125232050
117,78,296768646426081534164226
118,78,299274873158165721894192
119,78,301940334541467475893196
120,79,304453827890484804670958
121,79,307014025639579691549277
122,79,309597564990098559099140
123,79,312107641089350869114253
124,79,314560995636051363432147
125,79,317084968864415572610921
126,79,319451992510755956798231
127,79,321900043639652960884900
128,79,324429698756479713785839
129,79,326988724408061807599726
130,79,329535556752526638895682
131,79,332012903481350027428748
132,79,334531250159599438035985
133,79,337056482105706713826552
134,79,339495786944065027591437
135,79,342021084171387048159567
136,79,344513149343309961899734
137,79,347094914758349198637039
138,79,349572033577537176845605
139,79,352133917802159821689556
140,79,354676276866597771896823
141,79,357194968793275348669380
142,79,359685186972202469805351
143,79,362190921281714430498110
144,79,364711059047171206005510
145,79,367342122495009303665224
146,79,369863980497272735435769
147,79,372436547169102066267942
148,79,374942293445187994704485
149,79,377462817679444320232490
150,79,380059015447615315381324
151,79,382646918385808769580453
152,79,385193755786369003400056
153,79,387718575882913100020597
154,79,390311088063218097598926
155,79,392883647573663984077266
156,79,395346306269494042851027
157,79,397780846771999971800819
158,79,400292942915756624974745
159,79,402823726101602337166065
160,79,405408839810237511653582
161,79,407974871152636774293352
162,79,410496941028199727861192
163,79,413034479744589339047434
164,79,415526152446708625165577
165,79,418134049274038490335726
166,79,420644866049425504917094
167,79,423124833370251264516114
168,79,425612992792123355539871
169,79,428187215933421437292482
170,79,430733575791188809446407
171,79,433300716631793994070579
172,79,435813415270290368900502
173,79,438347703218632733025714
174,79,440977649067306386022903
175,79,443523380764210149308745
176,79,445983549358842079586395
177,79,448484847678192865200247
178,79,450948110421682306404506
179,79,453418012710710568987870
180,79,455921607163955026545736
181,79,458449255255207787051496
182,79,460933656077048373933961
183,79,463508827509176742038611
184,79,466041457177995561598639
185,79,468593387004068711265188
186,79,471108492625596416813306
187,79,473653587332810619508316
188,79,476239421589683886935675
189,79,478721801681861292581370
190,79,481325432399079214834983
191,79,483967497005801321251926
192,79,486575245685477649894228
193,79,489084175906144761948163
194,79,491625112147244494726939
195,79,494184838842686599406994
196,79,496798359841490776588444
197,79,499266952856359960942377
198,79,501790504391832324739736
199,79,504327820603662515465554
200,79,506900951147278254625191
201,79,509365413103148253963915
202,79,511896323570328262325047
203,79,514430168435928259850679
204,79,517001028469391995146850
205,79,519481928999910547172244
206,79,522048287186897972338043
207,79,524565426526039094880466
208,79,527064261570388231787760
209,79,529506988630392835293647
210,79,532005770770140738586146
211,79,534584522041274837223846
212,79,537130181592494187302031
213,79,539694098465056998067952
214,79,542166409710905843534148
215,79,544606804928550317332559
216,79,547166158168285836201776
217,79,549673859099883963006866
218,79,552257799375715203730894
219,79,554722062988855896355711
220,79,557277163261494068120473
221,79,559730822384469502871917
222,79,562234618899029522593505
223,79,564784252437056276250207
224,79,567334063581509071063612
225,79,569818029550774499930620
226,79,572342078119558000042744
227,79,574763076508328067586534
228,79,577326464443311308416062
229,79,579810147836434920715929
230,79,582361354928492904012595
231,79,584899874300210991098148
232,79,587364783611074537768993
233,79,589965467492770341194319
234,79,592517272554714806901486
235,79,595025913817473066131732
236,79,597629419679088173619210
237,79,600119440871327357734163
238,79,602678406301779233236198
239,80,605179291548693610842077
240,80,607654429313885257022325
241,80,610251476373644211157043
242,80,612790131172974988271742
