n,msb,noise
1,42,2453114782208
2,42,2453128684032
3,42,2452938301440
4,42,2452472710656
5,42,2452293994496
6,42,2452433377024
7,42,2452343383040
8,42,2452017098240
9,42,2452077904640
10,42,2452349346304
11,42,2452162536448
12,42,2451710398208
13,42,2451536807424
14,42,2451491172096
15,42,2451648184576
16,42,2451239000576
17,42,2451399309568
18,42,2451604724480
19,42,2452031616768
20,42,2452207524864
21,42,2452014802688
22,42,2452090893312
23,42,2452346460160
24,42,2452592892160
25,42,2452094152960
26,42,2452275033344
27,42,2452939936000
28,42,2452892023808
29,42,2452993582848
30,42,2452842680064
31,42,2453474784512
32,42,2453804046080
33,42,2453717572352
34,42,2454040484096
35,42,2453889400064
36,42,2454155876096
37,42,2454331461376
38,42,2454223730176
39,42,2453603010048
40,42,2454140286208
41,42,2454352836864
42,42,2453874131456
43,42,2453669170432
44,42,2453425860864
45,42,2453112851200
46,42,2452510829824
47,42,2452639091712
48,42,2451997977600
49,42,2452479730176
50,42,2452145607168
51,42,2452888989440
52,42,2452620237824
53,42,2452429043968
54,42,2452155767296
55,42,2451583674368
56,42,2451837957632
57,42,2451527494656
58,42,2450825641472
59,42,2450919319808
60,42,2451288450816
61,42,2451959031808
62,42,2452180412928
63,42,2452261512704
64,42,2452702357248
65,42,2452890963712
66,42,2452773242624
67,42,2452141199104
68,42,2452162562304
69,42,2452377475328
70,42,2452866685440
71,42,2452913140736
72,42,2453546768896
73,42,2453843074560
74,42,2453888678144
75,42,2453991775488
76,42,2454199574528
77,42,2454214418688
78,42,2454313644800
79,42,2453933622016
80,42,2453799185152
81,42,2453906363904
82,42,2453217975040
83,42,2452698599424
84,42,2452932110592
85,42,2453223399680
86,42,2452937915904
87,42,2453923709696
88,42,2454157507584
89,42,2453983371776
90,42,2454113679616
91,42,2454613589760
92,42,2453993048832
93,42,2453802214400
94,42,2453836946688
95,42,2453385697024
96,42,2453593438208
97,42,2453283492352
98,42,2453232661248
99,42,2453875872256
100,42,2453987271936
101,42,2454258017024
102,42,2455048925184
103,42,2454813234688
104,42,2455480363520
105,42,2454938606848
106,42,2453798238976
107,42,2453565565440
108,42,2453541848064
109,42,2453258776576
110,42,2453483071232
111,42,2453263268096
112,42,2452388361216
113,42,2452152304640
114,42,2452129059584
115,42,2452781868288
116,42,2452620475648
117,42,2452267304960
118,42,2451826975232
119,42,2451986989312
120,42,2451960388096
121,42,2452298737152
122,42,2452024683520
123,42,2451745229312
124,42,2451921076736
125,42,2451226076928
126,42,2450643049216
127,42,2450869635840
128,42,2450838326016
129,42,2451328993280
130,42,2450577084416
131,42,2450625713408
132,42,2450127165184
133,42,2450938946304
134,42,2451067692800
135,42,2451267786496
136,42,2451574258688
137,42,2450636591104
138,42,2450652156928
139,42,2450686060800
140,42,2450473456640
141,42,2450443813632
142,42,2450158896640
143,42,2449988408064
144,42,2449261160704
145,42,2450030524928
146,42,2449553615104
147,42,2449435241728
148,42,2450308947712
149,42,2450288903680
150,42,2450127877632
151,42,2450019785216
152,42,2450001091584
153,42,2449872816640
154,42,2450033766400
155,42,2449414587904
156,42,2449314289408
157,42,2449835583744
158,42,2448936463616
159,42,2449300273920
160,42,2449319373824
161,42,2449074398720
162,42,2448805781504
163,42,2448993505536
164,42,2449170735616
165,42,2449811271168
166,42,2448899666688
167,42,2449136825344
168,42,2449444014592
169,42,2449576779008
170,42,2448756268544
171,42,2449051969280
172,42,2449097964800
173,42,2448865342464
174,42,2449240443648
175,42,2448820156416
176,42,2448988331520
177,42,2448608916992
178,42,2449307260928
179,42,2449490671616
180,42,2449182879232
181,42,2448532410880
182,42,2448850683392
183,42,2448651856640
184,42,2448734525440
185,42,2448732344832
186,42,2448327380224
187,42,2448236207360
188,42,2448571222528
189,42,2448269050880
190,42,2448097828352
191,42,2448238508800
192,42,2448812810752
193,42,2448894364160
194,42,2449173730560
195,42,2448604099584
196,42,2447792630016
197,42,2448252269056
198,42,2447853622016
199,42,2448242430976
200,42,2448339473152
201,42,2448011449856
202,42,2448521525248
203,42,2448761785344
204,42,2448558917376
205,42,2448151361536
206,42,2448299292672
207,42,2448757828352
208,42,2448055165440
209,42,2447926320896
210,42,2447832384512
211,42,2447761905664
212,42,2447593216768
213,42,2447756698624
214,42,2447503366400
215,42,2447844096768
216,42,2446485886720
217,42,2447026166272
218,42,2446842513152
219,42,2446593758976
220,42,2446998433280
221,42,2447028896000
222,42,2447457821952
223,42,2447030725888
224,42,2446652687104
225,42,2445850886400
226,42,2445766596864
227,42,2445893443328
228,42,2445853524224
229,42,2444879645440
230,42,2445309086464
231,42,2444973705216
232,42,2444350455040
233,42,2444349147648
234,42,2444486466304
235,42,2444626982912
236,42,2444677722880
237,42,2444602272768
238,42,2444243089152
239,42,2443987909632
