n,msb,noise
0,106,48660772382892644364692570850262
1,142,4487810854877802393148361201852504907350911
2,143,7734961535922093539790879888170387721402360
3,144,12396809207074838937978304115921967162586278
4,143,10720862226335146325670639434678487211131630
5,144,12444719907321038564932429090535046343611834
6,144,15273658276967918823138015003461756338437945
7,144,15533323182679590265984430841759644862621649
8,144,17715857744404316590281914142847626576065245
9,144,20719063702363319249755721409649166313645722
10,144,21280148970780212957345144557558053688015171
11,145,22341839876287001231510267478223120973546916
12,144,19749563669949116279735771822191996257190595
13,145,23463352783363780839608827804952196527717126
14,145,25668372106069506738101718646457971036958422
15,145,22975989984658512585886799445463071982423662
